0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,約 2018 年 1 月
推出日期,約 2018 年 1 月
價格,"約 HK$2,690更新日期：2018-06-15"
網絡系統,"2G/2.5G - GSM/GPRS/EDGE 850/900/1800/1900 MHz 3G UMTS 850/900/1900/2100 (B5/B8/B2/B1), HSDPA 42, HSUPA 5.76 4G LTE (最高 300Mbps, 取決於服務供應商) FDD: Bands B1/B2/B3/B4/B5/B7/B8/B12/B17/B20/B28/B32 頻段 TDD: Bands B38/B40 頻段"
Sim 咭情況,雙咭 (nano SIM)
操作系統,Android
中央處理器,Snapdragon 652
操作系統及版本,Android 7.1.1
機身顏色,黑、銀、紅
尺寸,157.9 x 74.99 x 8.5 mm
重量,185 gram
操控,輕觸式
電池種類,3930mAh
可更換電池,不支援
通話時間,3G 最長可達 16 小時
備用時間,3G 最長可達 400 小時
RAM 容量,4GB RAM
ROM 容量,64GB ROM
可擴充記憶,Micro SD
最大支援記憶體,2TB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6 吋
螢幕類別,IPS
螢幕解像度,1080 x 2160
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,-
數碼變焦,-
視像鏡頭,500 萬像素雙鏡頭
閃光燈,LED
短片拍攝,MP4
短片解像度,4K
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,".3gp, .mp4, .m4a, .aac, .ts, .flac, .mp3, .mid, .ogg, .mkv, .wav"
短片播放格式,".3gp, .mp4, .ts, webm, mkv"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 4.2
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 a/b/g/n/ac (2.4 & 5 GHz)
gps 功能,"GPS, A-GPS, GLONASS, Beidou"
電腦連線,"USB 2.0, Type-C 類"
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,支援人面識別功能
