0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,約 2012 年 2 月
推出日期,約 2012 年 2 月
價格,"約 HK$4,998更新日期：2012-02-01"
網絡系統,4G LTE 2600 /HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1
操作系統,Android
中央處理器,雙核 1.5 Ghz
操作系統及版本,Android 4.0
機身顏色,黑
尺寸,128.8 x 67 x 11.27 mm
重量,164 gram
操控,輕觸式
電池種類,1620mAh
可更換電池,不詳
通話時間,3G 最長可達 310 分鍾 / 2G 最長可達 460 分鍾
備用時間,3G 最長可達 248 小時 / 2G 最長可達 293 小時
RAM 容量,1GB RAM、16GB 內置記憶體
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.5 吋
螢幕類別,IPS
螢幕解像度,540 x 960
螢幕備註,Multi-Touch
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,-
像素,800 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,130 萬像素鏡頭
閃光燈,LED
相機功能,BSI 高感光低雜訊感應器、F 2.2 光圈
短片拍攝,支援
短片解像度,1920 x 1080
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC、AAC+、WMA
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,FM 收音機
串流播放格式,支援
聲控功能,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v3.0、A2DP
紅外線支援,不支援
流動數據,4G LTE、HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,GPS、AGPS
電腦連線,microUSB 2.0
視頻輸出,micro HDMI
