0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Honor
發表日期,約 2018 年 5 月
推出日期,約 2018 年 12 月
價格,"約 HK$1,999更新日期：2020-12-29"
網絡系統,4G TD-LTE： TD-LTE 頻段 38/40/41 4G LTE FDD： LTEFDD 頻段 1/3/5/7/8/19/20 3G WCDMA： WCDMA 頻段 1/2/5/6/8/19 2G GSM GSM 頻段 2/3/5/8
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,EMUI 8.1
中央處理器,Kirin 970
圖像處理器,Mali-G72 MP12
操作系統及版本,Android 8.1
機身顏色,藍、黑
尺寸,149.6 x 71.2 x 7.7 mm
重量,153 gram
操控,輕觸式
電池種類,3400 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,4GB
ROM 容量,128GB
可擴充記憶,Micro SD
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.84 吋
螢幕類別,IPS
螢幕解像度,2280 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 1600 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,2400 萬像素
閃光燈,LED
相機功能,1600萬（彩色）＋ 2000萬（黑白）像素，F/1.8光圈，支持自動對焦（深度對焦/相位對焦/反差對焦）
短片拍攝,MP4
短片解像度,4K
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"mp3, mp4, 3gp, ogg, amr, aac, flac, wav, midi"
短片播放格式,HEVC、H.264、MPEG-4 Part 2 及 Motion JPEG
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,v4.2 BLE
紅外線支援,支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac
gps 功能,"A-GPS, GLONASS, BDS"
電腦連線,USB type-C 2.0
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
