0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2013 年 7 月
推出日期,約 2013 年 7 月
價格,"約 HK$1,680更新日期：2013-07-23"
網絡系統,HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統,Android
中央處理器,Qualcomm MSM8225Q 四核 1.2 Ghz
操作系統及版本,Android 4.1 (Jelly Bean)
機身顏色,黑
尺寸,134 x 66.8 x 9.9 mm
重量,155 gram
操控,輕觸式
電池種類,1700 mAh
可更換電池,不詳
通話時間,3G 最長可達 5.3 小時 / 2G 最長可達 5.8 小時
備用時間,3G 最長可達 340 小時 / 2G 最長可達 320 小時
RAM 容量,1GB RAM / 4GB ROM
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.5 吋
螢幕類別,TFT
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,-
像素,500 萬像素
自動對焦,-
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,30 萬像素
閃光燈,不支援
短片拍攝,-
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,-
串流播放格式,支援
聲控功能,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.0、EDR
紅外線支援,不支援
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,AGPS
電腦連線,microUSB 2.0
視頻輸出,-
