0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2015 年 10 月
推出日期,約 2015 年 10 月
價格,"約 HK$2,980更新日期：2015-10-29"
網絡系統,"4G：1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800), 38(2600), 39(1900), 40(2300), 41(2500) HSDPA：850 / 900 / 1700(AWS) / 1900 / 2100 GSM: 850/900/1800/1900MHz"
操作系統,Android
中央處理器,Snapdragon 615 八核 CPU
圖像處理器,Adreno 330
操作系統及版本,Android 5.1
機身顏色,金、灰、銀
尺寸,152.5 x 76.5 x 75 mm
重量,167 gram
操控,輕觸式
電池種類,3000 mAh
可更換電池,不支援
通話時間,最長可達 13 小時
備用時間,最長可達 330 小時
RAM 容量,3GB
ROM 容量,32GB
可擴充記憶,Micro SD
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.5 吋
螢幕類別,IPS
螢幕解像度,1920 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,支援
光學變焦,-
數碼變焦,-
視像鏡頭,500 萬像素
閃光燈,雙色 LED
短片拍攝,MP4
短片解像度,1920 X 1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"AAC, MP3, WMA, WAV, FLAC"
短片播放格式,"AAC, MP3, H.264, WMV"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V4.1
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,802.11 a/b/g/n/
gps 功能,"A-GPS, GLONASS"
電腦連線,usb 2.0
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
