0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2015 年 4 月
推出日期,約 2015 年 4 月
價格,"約 HK$2,280更新日期：2016-01-31"
網絡系統,SIM1: 4G FDD LTE B1(2100MHz)/ B3(1800MHz)/ B7(2600MHz) 4G TD LTE B38(2600MHz)/ B39(1900MHz)/ B40(2300MHz)/ B41(2500MHz) 3G WCDMA B1(2100MHz)/B2(1900MHz)/B5(850MHz)/B8(900MHz) 3G TD-SCDMA B34(2010MHz)/B39(1880MHz) 2G GSM 900/1800/1900MHz SIM2: 2G GSM 900/1800/1900MHz
操作系統,Android
操作介面,HUAWEI Emotion UI 3.0
中央處理器,"Hisilicon Kirin 925八核心處理器(4xA15 1.8GHz, 4xA7 1.3GHz)+i3智能感知處理器"
圖像處理器,Mali-T628 MP4
操作系統及版本,Andorid 4.4.2
機身顏色,黑、白、金
尺寸,150.46 x 75.68 x 7.5 mm
重量,165 gram
操控,輕觸式
電池種類,3600 mAh
可更換電池,不支援
通話時間,約 15 小時
備用時間,約 300 小時
RAM 容量,3GB
ROM 容量,32GB
可擴充記憶,microsd
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.5 吋
螢幕類別,IPS
螢幕解像度,1920 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,支援
光學變焦,-
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,雙色 LED
相機功能,獨具F0.95數碼大光圈，拍照後，可重新調整光圈大小（F0.95至F16 記錄全景深資訊，0.1秒快速對焦 進光量和感光面積為單鏡頭兩倍，有效Pixel Size 提升到1.98um 夜景模式，支持智能計
短片拍攝,MP4
短片解像度,1920 X 1080
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3, MP4, 3GP, WMA, OGG, AMR, AAC, FLAC, WAV, MIDI"
短片播放格式,"3GP, MP4, WMV, RM, RMVB"
收音機,支援
串流播放格式,支援
聲控功能,不支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V4.0
紅外線支援,支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 a/b /g/n
gps 功能,GPS
電腦連線,USB 2.0支持反向充電 (反向充電須另行配置OTG轉接線)
視頻輸出,不支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
參考網址,http://consumer.huawei.com/hk/mobile-phones/tech-specs/honor-6plus-hk.htm
