0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2016 年 4 月
推出日期,約 2016 年 5 月
價格,"約 HK$4,880更新日期：2016-04-29"
網絡系統,4G FDD LTE B1/3/4/7/20 4G TD LTE B38/39/40/41 3G WCDMA B1/2/4/5/8 3G TD-SCDMA B34/39 2G GSM 850/900/1800/1900MHz
操作系統,Android
中央處理器,"Hisilicon Kirin 955八核心64bit處理器(4xA72 2.5GHz, 4xA53 1.8GHz)"
圖像處理器,Mali-T880
操作系統及版本,Android 6.0
機身顏色,金
尺寸,152.3 X 75.3 X 6.98 mm
重量,162 gram
操控,輕觸式
電池種類,3400 mAh
可更換電池,不支援
通話時間,3G 長達 18 小時
備用時間,3G 長達 540 小時
RAM 容量,4GB RAM
ROM 容量,64GB
可擴充記憶,Micro SD
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.5 吋
螢幕類別,TFT
螢幕解像度,1920 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,-
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,雙 LED
相機功能,雙 Leica 鏡頭
短片拍攝,MP4
短片解像度,1920 X 1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3、acc、amr、ogg、m4a、mid、wma、flac、ape、aac、wav
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 4.2 (BLE)
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,"802.11 a/b/g/n/ac, 2.4 GHz/5 GHz"
gps 功能,GPS、A-GPS、GLONASS
電腦連線,USB 2.0 / USB Type C
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
