0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2014 年 5 月
推出日期,約 2014 年 5 月
價格,"約 HK$1,880更新日期：2014-05-14"
網絡系統,WCDMA / HSPA+ (900/2100MHz) GSM / GPRS / EDGE (850/900/1800/1900MHz)
操作系統,Android
操作介面,Emotion 2.0
中央處理器,Qualcomm Snapdragon™ 200 MSM 8212 1.2GHz 四核處理器
操作系統及版本,Android OS 4.3
機身顏色,白、黑
尺寸,130 × 65 × 7.5 mm
重量,114 gram
操控,輕觸式
電池種類,鋰電池 (2000 mAh)
可更換電池,不詳
通話時間,10小時
備用時間,250 小時
RAM 容量,1GB RAM
ROM 容量,8GB
可擴充記憶,microsd
最大支援記憶體,32G
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.5 吋
螢幕類別,IPS
螢幕解像度,540 X 960
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,500 萬像素鏡頭
閃光燈,LED
短片拍攝,MP4
短片解像度,1080p
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,立體聲 FM 收音機
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v4.0、A2DP
紅外線支援,不支援
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,GPS、AGPS
電腦連線,microUSB
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
參考網址,http://www.huaweidevice.com.hk/device.php?language=zh_hk&id=74
