0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2019 年 9 月
推出日期,約 2019 年 9 月
價格,"約 HK$4,998更新日期：2020-01-02"
網絡系統,2G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only) 3G HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 4G FDD LTE: Bands 1 / 2 / 3 / 4 / 5 / 6 / 7 / 8 / 9 / 12 / 17 / 18 / 19 / 20 / 26 / 28 / 32 / 66 4G TDD LTE: Bands 34 / 38 / 39 / 40 / 41
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,EMUI10 (基於Android 10)
中央處理器,Kirin 990
圖像處理器,Mali-G76 MP16
操作系統及版本,EMUI10 (基於Android 10)
機身顏色,亮黑色、星河銀、翡冷翠、羅蘭紫
尺寸,160.8 x 76.1 x 8.4 mm
重量,196 gram
操控,輕觸式
電池種類,4200 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB
ROM 容量,128GB
可擴充記憶,NM
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.62 吋
螢幕類別,OLED
螢幕解像度,2340 x 1080
螢幕備註,"1,670 萬色"
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 4000 萬像素
自動對焦,支援
光學防震,支援
光學變焦,3 X
數碼變焦,30X
視像鏡頭,2400 萬像素
閃光燈,支援
相機功能,後置攝像頭 後置超感光徠卡三攝： 4000萬像素超感光攝像頭（廣角，f/1.8光圈）+ 1600萬像素超廣角攝像頭（1600萬像素，f/2.2光圈）+ 800萬像素長焦攝像頭（ 800萬像素，f/2.4光圈，支持OIS），支持自動對焦 *不同拍照模式的照片像素可能有差異，請以實際為準。 變焦模式： 3倍光學變焦（3倍變焦為近似值，鏡頭焦段分別為17mm，27mm，80mm）、5倍混合變焦（三個攝像頭通過不同組合實現各種環境下出色的5倍變焦效果）、30倍數字變焦
短片拍攝,MP4
短片解像度,4K (60FPS)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"WAV, MP3, MP2, AMR-NB, AMR-WB, MIDI, Vorbis, APE, FLAC"
短片播放格式,"MP4, 3GP, AVI, TS, FLV, MKV"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,HUAWEI AppGallery
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.1，支援 BLE、SBC、AAC、 LDAC
紅外線支援,支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac
gps 功能,GPS（L1 + L5 雙頻）/ AGPS / Glonass
電腦連線,USB Type C 3.1
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
參考網址,https://consumer.huawei.com/hk/phones/mate30/specs/
備註,IP53 防水、40W 快速充電、27W 快速無線充電、逆向無線充電、側框操作
