0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2020 年 10 月
推出日期,約 2020 年 11 月
價格,"約 HK$7,988更新日期：2021-05-14"
網絡系統,"5G NR FDD: n1 / 3 / 5 / 7 / 8 / 28 5G NR TDD: n38 / 40 / 41 / 77 / 78 / 79 / 80 / 84 4G LTE TDD: Band 34 / 38 / 39 / 40 / 41 / 42 4G LTE FDD: Band 1 / 2 / 3 / 4 / 5 / 6 / 7 / 8 / 9 / 12 / 17 / 18 / 19 / 20 / 26 / 28 / 32 3G WCDMA: Band 1 / 2 / 4 / 5 / 6 / 8 / 19 CDMA EV-DO Rev. A: BC0(800 MHz) # 2G GSM: 850 / 900 / 1,800 / 1,900 MHz"
Sim 咭情況,雙咭雙待 5G+4G
操作系統,Android
操作介面,EMUI
中央處理器,Kirin 9000
圖像處理器,Mali-G78
操作系統及版本,Android 10
機身顏色,"秘銀色,亮黑色"
尺寸,162.9 X 75.5 X 9.1 mm
重量,212 gram
操控,輕觸式
電池種類,4400 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB RAM
ROM 容量,256GB ROM
可擴充記憶,NM Card
最大支援記憶體,512GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.76 吋
螢幕類別,OLED
螢幕解像度,2772 x 1344
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 5000 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,5 X
數碼變焦,50X
視像鏡頭,1300 萬像素
閃光燈,支援
相機功能,5000 萬像素超感知攝像頭（廣角， f/1.9 光圈） 2000 萬像素電影攝像頭（f/1.8 光圈） 1200 萬像素長焦攝像頭（f/3.4 光圈，支持OIS​​ 光學防抖) 後置攝像頭變焦模式 支持5 倍光學變焦（5 倍變焦為近似值，鏡頭焦段分別為18 mm，23 mm，125 mm）、10 倍混合變焦（三個攝像頭通過不同組合實現各種環境下出色的10 倍變焦效果）、 50 倍數字變焦 後置攝像頭對焦方式 自動對焦 後置攝像頭照片分辨率 最大可支持 8192 x 6144 像素 後置攝像頭攝像分辨率 最大可支持3840 x 2160 像素，支持720p@3840 fps 超級慢動作視頻
短片拍攝,MP4
短片解像度,4K (60 fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3/mp4/3gp/ogg/amr/aac/flac/midi
短片播放格式,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Huawei MediaGallery
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.2，支持低功耗藍牙，支持SBC、AAC，支持LDAC 高清音頻
紅外線支援,支援
流動數據,"5G,LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 a/b/g/n/ac/ax
gps 功能,支持GPS (L1 + L5 雙頻) / AGPS / GLONASS/ 北斗(B1I+B1C+B2a+B2b 四頻) / GALILEO (E1 + E5a + E5b 三頻) / QZSS (L1 + L5 雙頻) / NavIC
電腦連線,USB-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,IP68 防水、90Hz 屏幕
