0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2020 年 2 月
推出日期,約 2020 年 3 月
價格,"約 HK$19,888更新日期：2020-04-14"
網絡系統,5G NR FDD: N1 /3/28A 5G NR TDD: N38/41/77/78/79 4G TDD LTE: Band 34/38/39/40/41 4G FDD LTE: Band 1/2/3/4/5/6/7/8/9/12/17/18/19/20/26/28/32(Band32 只支援主卡) 3G WCDMA: Band 1/2/4/5/6/8/19 CDMA EV-DO Rev. A: BC0(800MHz) # 2G GSM: 850/900/1800/1900MHz
Sim 咭情況,雙咭雙待 (5G + 4G)
操作系統,Android
操作介面,EMUI 10.0.1
中央處理器,Kirin 990
操作系統及版本,Android 10
機身顏色,藍
尺寸,161.3mm x 78.5mm x 11mm mm
重量,300 gram
操控,輕觸式
電池種類,4500 mAh
可更換電池,不支援
通話時間,最長可達 22 小時
備用時間,最長可達 375 小時
RAM 容量,8GB RAM
ROM 容量,512GB ROM
可擴充記憶,NM Card
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,8 吋
螢幕類別,OLED
螢幕解像度,2480 x 2200
螢幕備註,主屏幕: 6.6 吋 2480 x 1148 副屏幕: 6.38 吋 2480 x 892
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 4800 像素
自動對焦,支援
光學防震,支援
光學變焦,3 X
數碼變焦,-
視像鏡頭,-
閃光燈,支援
相機功能,"Leica 四鏡頭: - 4,000萬像素廣角鏡頭f/1.8 + - 1,600萬像素超廣角鏡頭f/2.2 + - 800萬像素長焦鏡頭f/2.4 OIS + - ToF深感鏡頭 - 自動對焦 - 支援 4K 影片拍攝 (60fps) - AIS 防抖震"
短片拍攝,MP4
短片解像度,4K (60 fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3/mp4/3gp/ogg/amr/aac/flac/wav/midi
短片播放格式,3gp/mp4
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,AppGallery
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.0 支援 BLE / SBC / AAC / LDAC 技術
紅外線支援,不支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 a/b/g/n/ac
gps 功能,"GPS,Galileo,GLONASS,北斗"
電腦連線,USB Type-C 3.1
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
