0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2018 年 12 月
推出日期,約 2018 年 12 月
價格,"約 HK$3,688更新日期：2018-12-27"
網絡系統,-
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Kirin 970
圖像處理器,Mali-G72 MP12
操作系統及版本,Android 9
機身顏色,紅、藍、白、黑
尺寸,157 x 75.1 x 7.8 mm
重量,172 gram
操控,輕觸式
電池種類,3750 mAh
可更換電池,不支援
通話時間,-
備用時間,-
RAM 容量,8GB
ROM 容量,128GB
可擴充記憶,Micro SD
最大支援記憶體,512GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.4 吋
螢幕類別,IPS
螢幕解像度,2310 x 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 4800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,2500 萬像素
閃光燈,LED 閃光燈
短片拍攝,MP4
短片解像度,4K
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Sore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,Bluetooth V4.2
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 a/b/g/n/ac
gps 功能,"GPS, A-GPS, GLONASS"
電腦連線,USB Type-C
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
