0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2019 年 9 月
推出日期,約 2019 年 9 月
價格,"約 HK$3,088更新日期：2019-09-25"
網絡系統,"2G：GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 3G：HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 4G：LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 18(800), 19(800), 20(800), 26(850), 28(700), 38(2600), 40(2300), 41(2500"
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,EMUI 9.1
中央處理器,Kirin 980
圖像處理器,Mali-G76
操作系統及版本,Android 9
機身顏色,紫、黑、藍
尺寸,154.3 x 74 x 7.8 mm
重量,174 gram
操控,輕觸式
電池種類,3750 mAh
可更換電池,不支援
通話時間,-
備用時間,-
RAM 容量,8GB
ROM 容量,128GB
可擴充記憶,NM
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.26 吋
螢幕類別,TFT
螢幕解像度,2340 x 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 4800 萬 像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,3200 萬像素
閃光燈,LED 閃光燈
相機功能,"後置鏡頭: 4,800萬像素（f/1.8光圈, AF）+ 1,600萬像素（f/2.2光圈, FF）+ 200萬像素（f/2.4光圈, FF）+ 200萬像素（f/2.4光圈, FF） 支援自動對焦鏡頭（相位對焦，對比度對焦）。 前置鏡頭: 3,200萬像素，f/2.0光圈，支援定點焦距。"
短片拍攝,MP4
短片解像度,4K
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Sore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,"BT 5.0, BLE, SBC, AAC, LDAC and HWA Audio are supported."
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a/b/g/n Wi-Fi 支援 5GHz 及 2
gps 功能,Support GPS (L1 + L5 dual-band)
電腦連線,"Type-C, USB 2.0"
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,內附 Type-C to 3.5 mm headphone jack adapter
