0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2017 年 2 月
推出日期,約 2017 年 4 月
價格,"約 HK$5,180更新日期：2018-04-04"
網絡系統,4G FDD LTE B1/3/4/7/20 4G TD LTE B38/39/40/41 3G WCDMA B1/2/4/5/8 3G TD-SCDMA B34/39 2G GSM 850/900/1800/1900MHz
Sim 咭情況,雙咭雙待 SIM 咭槽 2 可選擇改為 Micro SD 咭擴充
操作系統,Android
操作介面,EMUI
中央處理器,Kirin 960
圖像處理器,Mali G-71
操作系統及版本,Android 7.0
機身顏色,銀、金、白、綠、藍
尺寸,153.5 x 74.2 x 7 mm
重量,165 gram
操控,輕觸式
電池種類,3750mAh
可更換電池,不支援
通話時間,3G 最長可達 32 小時
備用時間,LTE 最長可達 19 天
RAM 容量,6GB RAM
ROM 容量,128GB ROM
可擴充記憶,Micro SD
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.5 吋
螢幕類別,IPS
螢幕解像度,2560 X 1440
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,-
數碼變焦,3
視像鏡頭,800 萬像素
閃光燈,雙LED
相機功能,雙鏡頭主相機由 1200 萬像素彩色感光元件及加入 2000 萬像素黑白感光元件組成 光圈 f/1.8
短片拍攝,MP4
短片解像度,4K
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3、acc、amr、ogg、m4a、mid、wma、flac、ape、aac、wav
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 4.2
紅外線支援,支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac
gps 功能,GPS、A-GPS、GLONASS
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
