0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2018 年 3 月
推出日期,約 2018 年 3 月
價格,"約 HK$4,288更新日期：2018-08-30"
網絡系統,"4G TDD LTE: Band 34 / 38 / 39 / 40 / 41 (B41 only for China Mainland) 4G FDD LTE: Band 1 / 2 / 3 / 4 / 5 / 6 / 7 / 8 / 9 / 12 / 17 / 18 / 19 / 20 / 26 / 28 / 32 3G UMTS (WCDMA) / HSPA+ / DC-HSDPA: Band 1 / 2 / 4 / 5 / 6 / 8 / 19 3G TD-SCDMA: B34 / 39 CDMA EV-DO Rev. A: BC0 (800 MHz), only for China Telecom # 2G GSM: 850 / 900 / 1,800 / 1,900 MHz"
操作系統,Android
中央處理器,Kirin 970
圖像處理器,Mali-G72 MP12
操作系統及版本,Android 8.1
機身顏色,黑、藍、粉紅金
尺寸,149.1 x 70.8 x 7.7 mm
重量,165 gram
操控,輕觸式
電池種類,3400 mAh
可更換電池,不支援
通話時間,-
備用時間,-
RAM 容量,4GB RAM
ROM 容量,128GB ROM
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.8 吋
螢幕類別,RGBW
螢幕解像度,2244 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,-
數碼變焦,-
視像鏡頭,2400 萬像素
閃光燈,LED 補光燈
短片拍攝,MP4
短片解像度,4K
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3/WAV/eAAC+/FLAC
短片播放格式,MP4/H.264
收音機,支援
串流播放格式,不支援
聲控功能,不支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google PlayStore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V4.2 / A2DP /LDAC
紅外線支援,支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac
gps 功能,"A-GPS, GLONASS, BDS"
電腦連線,USB Type C
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,支援 IP53 防水規格及人面識別功能
