0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2019 年 12 月
推出日期,約 2019 年 12 月
價格,"約 HK$2,388更新日期：2020-02-28"
網絡系統,"4G TDD LTE: Band 34 / 38 / 39 / 40 / 41 (B41 only for China Mainland) 4G FDD LTE: Band 1 / 3 / 5 / 7 / 8 / 28 3G WCDMA: Band 1 / 2 / 5 / 8 3G TD-SCDMA: B34 / 39 CDMA EV-DO Rev. A: BC0 (800 MHz), only for China Telecom # 2G GSM: 850 / 900 / 1800 / 1900 MHz 副卡: 4G TDD LTE: Band 34 / 38 / 39 / 40 / 41 (B41 only for China Mainland) 4G FDD LTE: Band 1 / 3 / 5 / 7 / 8 / 28 3G WCDMA: Band 1 / 2 / 5 / 8 CDMA EV-DO Rev. A: BC0 (800 MHz), only for China Telecom # 2G GSM: 850 / 900 / 1800 / 1900 MHz"
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,EMUI 9.1
中央處理器,HUAWEI Kirin 710 八核心 CPU
圖像處理器,Mali-G51 MP4
操作系統及版本,Android 9
機身顏色,幻夜黑、雀翎藍及天空之境
尺寸,152.9 x 72.7 x 7.4 mm
重量,159 gram
操控,輕觸式
電池種類,3340
可更換電池,不支援
通話時間,最長可達 21 小時
備用時間,最長可達 556 小時
RAM 容量,6GB
ROM 容量,256GB
可擴充記憶,microSD
最大支援記憶體,512GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.15 吋
螢幕類別,LTPS
螢幕解像度,2312 x 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 4800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,3200 萬像素
閃光燈,LED 閃光燈
相機功能,"後置AI三鏡頭: - 4,800 萬像素廣角鏡頭f/1.8 - 800 萬像素超廣角鏡頭f/2.4 - 200 萬像素虛化鏡頭f/2.4 - 自動對焦 -支援1080p (60fps)視頻 前置鏡頭： - 3,200 萬像素AI鏡頭 - f/2.0 光圈"
短片拍攝,MP4
短片解像度,1920 X 1080
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"*.mp3, *.mp4, *.3gp, *.ogg, *.amr, *.aac, *.flac, *.wav, *.midi"
短片播放格式,"*.3gp, *.mp4"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Sore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,Bluetooth V4.2
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,"802.11 a/b/g/n/ac , 2.4 GHz / 5"
gps 功能,GPS / Glonass / BeiDou / Galileo
電腦連線,USB Type-C 2.0
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
