0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2018 年 6 月
推出日期,約 2018 年 6 月
價格,"約 HK$1,480更新日期：2018-08-03"
網絡系統,"主卡： 4G TDD LTE: Band 34/38/39/40/41 (B41 only for China Mainland) 4G FDD LTE: Band 1/3/7/8/28 3G UMTS(WCDMA)/ HSPA+/ DC-HSDPA: Band 1/2/5/8 3G TD-SCDMA : B34/39 CDMA EV-DO Rev. A: BC0(800MHz), only for China Telecom # 2G GSM: 850/900/1800/1900MHz 副卡（僅支援語音）： 3G 網路制式 WCDMA /CDMA# 2G 網路制式 GSM/CDMA"
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 425
操作系統及版本,Android 8
機身顏色,黑、藍、金
尺寸,152.4×73×7.8 mm
重量,150 gram
操控,輕觸式
電池種類,3000mAh
可更換電池,不支援
通話時間,3G 最長可達 13 小時
備用時間,3G 最長可達 900 小時
RAM 容量,3GB
ROM 容量,32GB
可擴充記憶,Micro SD
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.7 吋
螢幕類別,TFT
螢幕解像度,1440 X 720
螢幕備註,18:9 比例
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬 像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,LED
短片拍攝,mp4
短片解像度,FHD
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3/mid/amr/awb/3gp/mp4/m4a/aac/wav/ogg/flac/mkv
短片播放格式,3gp/mp4/webm/mkv
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 4.2 (支援 BLE)
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,"802.11 b/g/n,2.4GHz"
gps 功能,aGPS
電腦連線,Micro USB
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
