0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2020 年 6 月
推出日期,約 2020 年 6 月
價格,"約 HK$1,288更新日期：2020-06-09"
網絡系統,4G TDD LTE: Band 34/38/39/40/41 (B41 only for China Mainland) 4G FDD LTE: Band 1/2/3/4/5/7/8/20/28 3G WCDMA : Band 1/2/4/5/8 2G GSM: 850/900/1800/1900MHz
Sim 咭情況,雙咭雙待 三卡槽設計 nano SIM + nano SIM + microSD
操作系統,Android
操作介面,EMUI 10.1
中央處理器,MTK MT6762R
操作系統及版本,Android 10
機身顏色,幻夜黑、翡冷翠、幻影紫
尺寸,159.07 x 74.06 x 9.04 mm
重量,185 gram
操控,輕觸式
電池種類,5000 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,4GB
ROM 容量,64GB
可擴充記憶,Micro SD
最大支援記憶體,512GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.3 吋
螢幕類別,TFT
螢幕解像度,1600 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,LED 閃光燈
相機功能,"- 1,300萬像素主鏡頭 f/1.8 - 500萬像素超廣角鏡頭 f/2.2 - 200萬像素景深鏡頭 f/2.4 - 自動對焦 前置鏡頭: - 800萬像素鏡頭 f/2.0"
短片拍攝,MP4
短片解像度,1920 X 1080
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,HUAWEI AppGallery
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.0 BLE
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,"802.11 b/g/n, 2.4GHz"
gps 功能,支援
電腦連線,micro USB
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
