0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2017 年 5 月
推出日期,約 2017 年 5 月
價格,"約 HK$1,599更新日期：2018-04-04"
網絡系統,4G FDD LTE B1/3/5/7/8 4G TD LTE B38/39/40/41 3G WCDMA B1/2/5/8 3G TD-SCDMA B34/39 3G CDMA BC0 ## 2G GSM 850/900/1800/1900MHz 2G CDMA BC0 ## 主副卡不能同時支援 CDMA 網絡
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,EUI 5.1
中央處理器,Snapdragon 435 CPU
操作系統及版本,Android 7.0
機身顏色,有金、銀、灰色
尺寸,153.6 x 76.4 x 8.35 mm
重量,165 gram
操控,輕觸式
電池種類,4000 mAh
可更換電池,不支援
通話時間,3G 最長可達 25 小時
備用時間,3G 最長可達 754 小時
RAM 容量,3GB RAM
ROM 容量,32GB ROM
可擴充記憶,micro SD
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.5 吋
螢幕類別,IPS
螢幕解像度,1280 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1200 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,LED
短片拍攝,mp4
短片解像度,1920 X1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,Bluetooth 4.1+ BLE
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,"802.11 b/g/n, 2.4GHz"
gps 功能,"GPS, A-GPS, GLONASS"
電腦連線,usb 2.0
視頻輸出,不支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
