0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2020 年 9 月
推出日期,約 2021 年 11 月
價格,"約 HK$3,988更新日期：2021-11-11"
網絡系統,"4G LTE TDD: Band 34 / 38 / 39 / 40 / 41 4G LTE FDD: Band 1 / 2 / 3 / 4 / 5 / 7 / 8 / 12 / 17 / 18 / 19 / 20 / 26 / 28 / 66 3G WCDMA: Band 1 / 2 / 4 / 5 / 6 / 8 / 19 2G GSM: 850 / 900 / 1,800 / 1,900 MHz"
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,EMUI12
中央處理器,Snapdragon 778 4G
圖像處理器,Qualcomm Adreno 642L
操作系統及版本,HarmonyOS 2
機身顏色,9號色 (藍)、亮黑色
尺寸,160 x 73.7 x 7.77 mm
重量,175 gram
操控,輕觸式
電池種類,4300 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB
ROM 容量,256GB
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.57 吋
螢幕類別,OLED
螢幕解像度,2340 x 1080
螢幕備註,120Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,-
像素,四鏡頭 5000 萬像素 像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,10X
視像鏡頭,3200 萬像素
閃光燈,LED 閃光燈
相機功能,後置相機 50 MP 超感知鏡頭（f/1.9 光圈） 8 MP 超廣角鏡頭（f/2.2 光圈） 2 MP 景深鏡頭（f/2.4 光圈） 2 MP 微距鏡頭（f/2.4 光圈） *不同拍照模式的照片像素可能有差異，請以實際為準。 後置攝像頭變焦模式 最大 10 倍數碼變焦 *不同模式下可能有差異，請以實際為準。 後置鏡頭照片解像度 最高支援 8192 x 6144 *不同拍照模式的照片像素可能有差異，請以實際為準。 後置鏡頭影片解像度 最高支持 3840 × 2160 後置鏡頭拍攝功能 短視頻*、微電影*、多機位模式*、AI美拍、超大廣角、夜景模式、人像模式、高像素模式、拍照、專業拍照、錄像、雙景錄像、超級微距、全景模式、延時攝影、慢動作、大光圈、水印、文檔矯正、動態照片、智能濾鏡、定時拍攝、笑臉抓拍、聲控拍照、熄屏快拍、連拍
短片拍攝,MP4
短片解像度,4K (60fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,HUAWEI AppGallery
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.2/LDAC
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a/b/g/n/ac/ax
gps 功能,GPS (L1 + L5 Dual band) / AGPS / GLONASS/ BeiDou(B1I+B1C+B2a Tri-band) / GALILEO (E1 + E5a Dual band) / QZSS (L1 + L5 dual band) / NavIC
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,支援 66W HUAWEI SuperCharge
