0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Huawei
發表日期,約 2015 年 9 月
推出日期,約 2015 年 10 月
價格,"約 HK$2,488更新日期：2018-10-07"
網絡系統,GSM/EDGE：850/900/1800/1900MHz UMTS/WCDMA：B1/2/4/5/6/8/9/19 TD-SCDMA：34/39 CDMA：BC0/1 LTE (FDD)：B1/2/3/4/5/7/8/9/17/19/20/28 LTE (TDD)：B38/B39/40/41 CA DL：B1-B5、B1-B8、B1-B19、B3-B3、B3-B5、B3-B7、B3-B8、B3-B19、B3-B20、B3-B28、B5-B7、B7-B7、B7-B20、B7-B28、B39-B39、B40-B40、B41-B41
操作系統,Android
中央處理器,Snapdrgon 810 CPU
圖像處理器,Adreno 430
操作系統及版本,Android 6.0
機身顏色,黑、白、灰
尺寸,159.3 X 77.8 X 7.3 mm
重量,178 gram
操控,輕觸式
電池種類,3450 mAh
可更換電池,不支援
通話時間,16 小時
備用時間,550 小時
RAM 容量,3GB RAM
ROM 容量,32GB / 64GB / 128GB
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.7 吋
螢幕類別,IPS
螢幕解像度,2560 X 1440
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1230 萬像素
自動對焦,支援
光學防震,支援
光學變焦,1 X
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,雙 LED 補光燈
短片拍攝,MP4
短片解像度,4K
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"AAC, AAC+, eAAC+, WMA"
短片播放格式,"MPEG4, RealVideo"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V4.2
紅外線支援,不支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,"WiFi 802.11 a/b/g/n/ac 2x2 MIMO,"
gps 功能,GPS / GLONASS
電腦連線,USB Type-C
視頻輸出,Miracast
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
