0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Microsoft
發表日期,約 2015 年 12 月
推出日期,約 2015 年 12 月
價格,"約 HK$1,288更新日期：2015-12-17"
網絡系統,"FDD-LTE：Band 1 (2100 MHz), Band 2 (1900 MHz), Band 3 (1800 MHz), Band 4 (1700/2100 MHz), Band 5 (850MHz), Band 7 (2600 MHz), Band 8 (900MHz), Band 12 (700 MHz), Band 17 (700MHz), Band 20 (800MHz), Band 28 (700 MHz) WCDMA：Band 1 (2100 MHz), Band 2 (1900 MHz), Band 4 (1700/2100 MHz), Band 5 (850 MHz), Band 8 (900 MHz) GSM：850 MHz, 900 MHz, 1800 MHz, 1900 MHz"
Sim 咭情況,設單卡版及雙卡版
操作系統,Windows Phone
中央處理器,Snapdragon 110 四核 1.1 GHz
圖像處理器,Adreno 304
操作系統及版本,Windows 10
機身顏色,黑、白
尺寸,136.1 x 67.8 x 9.9 mm
重量,142 gram
操控,輕觸式
電池種類,2100 mAh
可更換電池,不支援
通話時間,3G 長達 14 小時
備用時間,3G 長達 250 小時
RAM 容量,1GB
ROM 容量,8GB
可擴充記憶,Micro SD
最大支援記憶體,200GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.7 吋
螢幕類別,IPS
螢幕解像度,1280 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,500 萬像素
自動對焦,支援
光學防震,支援
光學變焦,不支援
數碼變焦,2X
視像鏡頭,不支援
閃光燈,LED
短片拍攝,MP4
短片解像度,1920 X 1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3、acc、amr、ogg、m4a、mid、wma、flac、ape、aac、wav
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Market Place
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 4.1
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,GPS、A-GPS、GLONASS
電腦連線,usb 2.0
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
