0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Microsoft
發表日期,約 2014 年 11 月
推出日期,約 2014 年 11 月
價格,約 HK$998更新日期：2016-04-05
網絡系統,"WCDMA network: Band 1 (2100 MHz), Band 8 (900 MHz) GSM network: 850 MHz, 900 MHz, 1800 MHz, 1900 MHz"
操作系統,Windows Phone
操作介面,Windows Phone 8.1
中央處理器,Snapdragon 200 四核 1.2 GHz
操作系統及版本,Windows 8.1
機身顏色,黑、白、橙、藍、綠
尺寸,140.2 X 72.4 X 8.8 mm
重量,146 gram
操控,輕解式
電池種類,1905
可更換電池,支援
通話時間,3G 最長可達 13 小時
備用時間,最長可達 23 天
RAM 容量,1GB RAM
ROM 容量,8GB ROM
可擴充記憶,microsd
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5 吋
螢幕類別,TFT
螢幕解像度,540 X 960
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,500 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,500 萬像素
閃光燈,LED
短片拍攝,mp4
短片解像度,848 x 480
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"aac, .amr, .ogg, .m4a, .mid, .mp3, .wav, .wma"
短片播放格式,".3gp, .3g2, .mp4, .wmv (Windows Media Video 9), .avi (MP4 ASP"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Market Place
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 v4.0、A2DP
紅外線支援,不支援
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,IEEE 802.11 /b/g/n
gps 功能,Agps
電腦連線,USB 2.0
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
參考網址,http://www.microsoft.com/en/mobile/phone/lumia535/specifications/
