0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Microsoft
發表日期,約 2015 年 3 月
推出日期,約 2015 年 5 月
價格,"約 HK$2,488更新日期：2015-06-29"
網絡系統,"FDD LTE：800 (band 20), 900 (band 8), 1800 (band 3), 2100 (band 1), 2600 (band 7) MHz UMTS:850, 900, 2100 MHz GSM：850, 900, 1800, 1900 MHz"
操作系統,Windows Phone
中央處理器,Snapdragon 400
圖像處理器,Adreno 305
操作系統及版本,Windows Phone 8.1
機身顏色,黑、白、橙及藍
尺寸,157.9 x 81.5 x 9 mm
重量,171 gram
操控,輕觸式
電池種類,3000 mAh
可更換電池,不支援
通話時間,3G 最長可達 23 小時
備用時間,3G 最長可達 936 小時
RAM 容量,1GB RAM
ROM 容量,8GB ROM
可擴充記憶,microsd
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.7 吋
螢幕類別,TFT
螢幕解像度,1280 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,500 萬像素
閃光燈,不支援
短片拍攝,mp4
短片解像度,1920 X1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、M4A、AAC、AMR
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Market Place
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 v4.0、A2DP
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi (802.11 b/g/n/ac)
gps 功能,支援
電腦連線,usb 2.0
視頻輸出,不支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
備註,設有 3G 及 4G 版本，兩個版本均設有雙咭雙待功能
