0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Motorola
發表日期,約 2011 年 7 月
推出日期,約 2011 年 7 月
價格,約 HK$999更新日期：2011-07-22
網絡系統,UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
機身顏色,黑色、白色
尺寸,105 x 58.4 x 12.9 mm
重量,95 gram
操控,輕觸式
電池種類,鋰電池 (910mAh)
可更換電池,不詳
通話時間,4.5 小時
備用時間,200 小時
RAM 容量,128MB RAM
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,16GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,2.8 吋
螢幕類別,TFT
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,200 萬像素
自動對焦,-
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,-
短片拍攝,15fps
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC、AAC+、eAAC+
短片播放格式,MPEG4
收音機,FM 收音機
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.1、A2DP
紅外線支援,-
流動數據,UMTS、EDGE、GPRS
wifi 功能,-
gps 功能,-
電腦連線,USB
視頻輸出,-
