0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Motorola
發表日期,約 2021 年 10 月
推出日期,約 2021 年 10 月
價格,"約 HK$4,499更新日期：2021-10-20"
網絡系統,"2G bands	GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 3G bands	HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 4G bands	1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 5G bands	1, 3, 5, 7, 8, 28, 38, 41, 66, 77, 78 SA/NSA/Sub6"
Sim 咭情況,雙咭雙待 (5G+4G)
操作系統,Android
中央處理器,Snapdragon 870 CPU
圖像處理器,Adreno 650
操作系統及版本,Android 11
機身顏色,藍
尺寸,163 x 76 x 8 mm
重量,185 gram
操控,輕觸式
電池種類,5000 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,12GB RAM
ROM 容量,256GB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.7 吋
螢幕類別,OLED
螢幕解像度,2400 X 1080
螢幕備註,144Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 1.08 億像素
自動對焦,支援
光學防震,不支援
光學變焦,5 X
數碼變焦,-
視像鏡頭,3200 萬像素
閃光燈,支援
相機功能,鏡頭方面，Motorola edge 20 pro 具備 Motorola 系列最出色的鏡頭，搭載 108MP 超高像素感應器，支援ultra pixel 9合1像素技術、5倍光學變焦及50倍超級變焦加上8K 影片拍攝功能。119 度超廣角及微距鏡頭捕捉畫面闊度媲美人類視角，將更多及更細緻內容攝下同一畫面中。支援拍攝 8K 影片，是現今智能手機當中最高質素，可輕易拍攝出電影感震撼影片。前置鏡頭像素高達32MP並支援Quad pixel 4合1像素技術，提供超強感光度，無論室內或室外、日與夜之下進行自拍都可拍下最動人畫面。
短片拍攝,MP4
短片解像度,8K (24fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.1
紅外線支援,不支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac/6
gps 功能,"A-GPS, GLONASS, BDS, GALILEO"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
