0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Motorola
發表日期,-
推出日期,-
網絡系統,-
操作系統及版本,Symbian 7.0 UIQ
機身顏色,黑色
尺寸,117 x 59.5 x 21.5 mm
重量,168 gram
電池種類,鋰電池 (1600mAh)
可更換電池,不詳
通話時間,-
備用時間,-
RAM 容量,22MB
ROM 容量,-
可擴充記憶,microsd
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,2.9 吋
螢幕類別,TFT
螢幕解像度,208 x 320
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,130 萬像素
自動對焦,-
光學防震,不詳
光學變焦,-
數碼變焦,4X
視像鏡頭,30 萬像素鏡頭
閃光燈,-
短片拍攝,300 秒有聲影片拍攝 (MPEG4)
短片解像度,30 萬像素 CMOS 鏡頭
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC、AMR、MIDI、WAV、WMA
短片播放格式,3GP、MPEG4、AVI
收音機,不支援
來電提示,-
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,-
紅外線支援,-
流動數據,UMTS
wifi 功能,Wi-Fi
gps 功能,-
電腦連線,-
視頻輸出,-
