0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Motorola
發表日期,約 2017 年 7 月
推出日期,約 2017 年 7 月
價格,"約 HK$1,099更新日期：2017-07-08"
網絡系統,GSM/GPRS/EDGE: 850/900/1800/1900MHz WCDMA/HSPA: 850/900/1900/2100MHz TD-SCDMA: 1900/2000MHz LTE FDD: 850/900/1800/2100/2600MHz TD-LTE: 1900/2300/2600MHz
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,MT6737 四核 1.3 GHz
圖像處理器,Mali-T720MP2
操作系統及版本,Android 7.0
機身顏色,黑、白
尺寸,144 x 72.3 x 10 mm
重量,162 gram
操控,輕觸式
電池種類,4000 mAg
可更換電池,不支援
通話時間,-
備用時間,30 天
RAM 容量,2GB
ROM 容量,16GB
可擴充記憶,micro SD
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5 吋
螢幕類別,1280 X 720
螢幕解像度,TFT
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,200 萬像素
閃光燈,LED
短片拍攝,MP4
短片解像度,1920 X 1080
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3/eAAC+/WAV/Flac player
短片播放格式,MP4/H.264 player
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,"4.2, A2DP, LE"
紅外線支援,不支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi 802.11 b/g/n
gps 功能,AGPS
電腦連線,usb 2.0
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
