0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Motorola
發表日期,約 2014 年 9 月
推出日期,約 2015 年 1 月
價格,"約 HK$4,998更新日期：2015-01-24"
網絡系統,不詳
操作系統,Android
中央處理器,Qualcomm Snapdragon 801 四核 2.5 GHz
操作系統及版本,Android 4.4
機身顏色,白
尺寸,140.8 X 72.4 X 9.97 mm
重量,144 gram
操控,輕觸式
電池種類,2300mah
可更換電池,不支援
通話時間,-
備用時間,-
RAM 容量,2GB RAM
ROM 容量,16GB / 32GB
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.2 吋
螢幕類別,AMOLED
螢幕解像度,1920 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,200 萬像素
閃光燈,LED
短片拍攝,MP4
短片解像度,1920 X 1080
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3, AAC/AAC＋/eAAC＋, WMA, AMR-NB/WB, Vorbis, FLAC"
短片播放格式,.3gp、.3g2、.mp4、.wmv (Windows Media Video 9)、.avi (MP4 ASP 和 MP3)
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V4.0
紅外線支援,不支援
流動數據,LTE、HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac
gps 功能,"GPS, A-GPS, GLONASS"
電腦連線,usb 2.0
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不詳
參考網址,http://www.motorola.com/us/Moto-X/FLEXR2.html
