0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Motorola
發表日期,約 2009 年 3 月
推出日期,約 2009 年 3 月
價格,"約 HK$1,980更新日期：2009-05-27"
網絡系統,GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統及版本,Linux
機身顏色,黑色
尺寸,103 x 49.5 x 15.2 mm
重量,121 gram
操控,數字鍵盤
電池種類,鋰電池 (810mAh)
可更換電池,不詳
通話時間,400 分鐘
備用時間,400 小時
RAM 容量,110MB
ROM 容量,-
可擴充記憶,microsd
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,2.2 吋
螢幕類別,TFT
螢幕解像度,240 x 320
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,500 萬像素
自動對焦,-
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,支援
短片拍攝,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC、AAC、WMA、WAV
短片播放格式,MPEG4、H.263、WMV
收音機,RDS FM 收音機
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.0、A2DP
紅外線支援,-
流動數據,EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g)
gps 功能,-
電腦連線,USB 2.0
視頻輸出,-
