0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2018 年 2 月
推出日期,約 2018 年 4 月
價格,"約 HK$4,288更新日期：2018-11-06"
網絡系統,"GSM: 850/900/1800/1900, CDMA One: BC (800), CDMA 2000: BC0 (800) WCDMA, 1,2,5,8, TDS CDMA 34,39 FDD-LTE: 1, 2, 3, 4, 5, 7, 8, 20, 28 TDD-LTE: 34, 38, 39, 40, 41 Network speed: LTE Cat 12 600Mbps DL \ Cat13 150Mbps(64QAM) UL"
Sim 咭情況,單咭
操作系統,Android
中央處理器,Snapdragon 835
操作系統及版本,Android 8.0
機身顏色,黑
尺寸,140.9 x 73 x 7.5 mm
重量,177 gram
操控,輕觸式
電池種類,3250mAh
可更換電池,不支援
通話時間,-
備用時間,-
RAM 容量,6GB RAM
ROM 容量,128GB ROM
可擴充記憶,Micro SD
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.5 吋
螢幕類別,AMOLED
螢幕解像度,2560 X 1440
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 1200 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,2 X
數碼變焦,-
視像鏡頭,500 萬像素
閃光燈,LED 補光燈
短片拍攝,MP4
短片解像度,4K
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3/WAV/eAAC+/FLAC
短片播放格式,MP4/H.264
收音機,不支援
串流播放格式,不支援
聲控功能,不支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google PlayStore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.0 / A2DP /
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac
gps 功能,"A-GPS, GLONASS, BDS"
電腦連線,USB Type C (3.1)
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
