0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2008 年 9 月
推出日期,約 2008 年 9 月
價格,"約 HK$2,998更新日期：2008-09-05"
網絡系統,HSDPA / UTMS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統及版本,Symbian OS 9.3、Series 60 UI
機身顏色,黑色、紅色
尺寸,103 x 49 x 14.9 mm
重量,117 gram
電池種類,鋰電池 (950 mAh)
可更換電池,不詳
通話時間,220 分鐘
備用時間,220 小時
RAM 容量,120
ROM 容量,-
可擴充記憶,microsd
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,2.4 吋
螢幕類別,TFT
螢幕解像度,240 x 320
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,320 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,支援
閃光燈,支援
短片拍攝,VGA 15fps
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC
短片播放格式,MPEG4
收音機,立體聲 FM 收音機
串流播放格式,支援
聲控功能,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.0、A2DP
紅外線支援,-
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,-
gps 功能,GPS、AGPS
電腦連線,USB 2.0
視頻輸出,-
