0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2010 年 3 月
推出日期,約 2010 年 3 月
價格,"約 HK$1,198更新日期：2010-03-26"
網絡系統,GSM 900 / GSM 1800 / GSM 1900
機身顏色,黑色、白色、金色、粉紅色
尺寸,108.8 x 46.2 x 11.7 mm
重量,96 gram
電池種類,鋰電池 (1050mAh)
可更換電池,不詳
通話時間,480 分鐘
備用時間,30 小時
RAM 容量,55MB
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,8GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,2.2 吋
螢幕類別,TFT
螢幕解像度,240 x 320
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,320 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,支援
短片拍攝,QVGA@8fps
短片解像度,QCIF@15fps
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV
短片播放格式,H.263、H.264
收音機,Stereo FM收音機RDS
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.1、A2DP
紅外線支援,-
流動數據,EDGE、GPRS
wifi 功能,-
gps 功能,-
電腦連線,microUSB 2.0
視頻輸出,-
