0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2018 年 2 月
推出日期,約 2018 年 4 月
價格,"約 HK$3,288更新日期：2018-03-28"
網絡系統,"GSM: 850/900/1800/1900, WCDMA: Band 1, 2, 5, 8, LTE: Band 1, 3, 5, 7, 8, 20, 28, 38, 40, 41(Full band 41) Network speed: LTE Cat 6, 2CA, 300Mbps DL/50Mbps UL"
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 660
操作系統及版本,Android 8.0
機身顏色,黑、白
尺寸,158.4 x 75.6 x 8 mm
重量,183 gram
操控,輕觸式
電池種類,3800 mAh
可更換電池,不支援
通話時間,-
備用時間,-
RAM 容量,4GB
ROM 容量,64GB ROM
可擴充記憶,Micro SD
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6 吋
螢幕類別,TFT
螢幕解像度,2160 X 1080
螢幕備註,18:9 比例
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 1200 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,2 X
數碼變焦,-
視像鏡頭,1600 萬像素
閃光燈,LED 補光燈
短片拍攝,MP4
短片解像度,1920 X 1080
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3/WAV/eAAC+/FLAC
短片播放格式,MP4/H.264
收音機,支援
串流播放格式,不支援
聲控功能,不支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google PlayStore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.0 / A2DP /
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac
gps 功能,GPS/AGPS+GLONASS+BDS
電腦連線,USB type-C (USB 2.0)
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
