0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2018 年 10 月
推出日期,約 2018 年 11 月
價格,"約 HK$1,698更新日期：2019-05-27"
網絡系統,"GSM: 850/900/1800/1900, WCDMA: Band 1, 2, 5, 8, LTE: Band 1, 3, 5, 7, 8, 20, 28, 38, 40, 41(Full band 41)"
操作系統,Android
中央處理器,Snapdragon 636
操作系統及版本,Android 8.1
機身顏色,鋼
尺寸,149.27 x 71.18 x 7.99 mm
重量,160 gram
操控,輕觸式
電池種類,3060mAh
可更換電池,不支援
通話時間,最長可達 20 小時
備用時間,-
RAM 容量,4GB
ROM 容量,64GB
可擴充記憶,MicroSD
最大支援記憶體,400GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.84 吋
螢幕類別,TFT
螢幕解像度,2280 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 1200 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,800萬像素
閃光燈,LED
短片拍攝,MP4
短片解像度,FHD
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"mp3, mp4, 3gp, ogg, amr, aac, flac, wav, midi"
短片播放格式,HEVC、H.264、MPEG-4 Part 2 及 Motion JPEG
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 5.0 無線技術
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,802.11 a/b/g/n/ac
gps 功能,PS/AGPS+GLONASS+Beidou
電腦連線,USB type-C 2.0
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
