0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2011 年 8 月
推出日期,約 2011 年 8 月
價格,"約 HK$2,648更新日期：0000-00-00"
網絡系統,HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
中央處理器,1GHz
操作系統及版本,Symbian Belle OS
機身顏色,黑色、白色
尺寸,110 x 50.7 x 9.7 mm
重量,96 gram
操控,輕觸式
電池種類,鋰電池 (1080mAh)
可更換電池,不詳
通話時間,WCDMA 最長可達 4.3小時 / GSM 最長可達7.3小時
備用時間,WCDMA 最長可達465小時 / GSM 最長可達450小時
RAM 容量,2GB
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32G
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,3.2 吋
螢幕類別,AMOLED
螢幕解像度,360 x 640
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,500 萬像素
自動對焦,-
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,LED
短片拍攝,支援
短片解像度,"720p, 30fps"
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WAV
短片播放格式,MPEG4、H.263、H.264
收音機,-
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.1、A2DP
紅外線支援,-
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,-
電腦連線,microUSB 2.0
視頻輸出,-
