0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2019 年 9 月
推出日期,約 2019 年 10 月
價格,約 HK$998更新日期：2019-10-03
網絡系統,"GSM：850, 900, 1800, 1900 | WCDMA：1, 5, 8 | LTE：1, 3, 5, 7, 8, 20, 28, 38/41, 39, 40"
Sim 咭情況,雙咭雙待
操作系統,其它操作系統
中央處理器,Qualcomm 205
操作系統及版本,Kai OS
機身顏色,黑
尺寸,145.4 x 62.1 x 16.11 mm
重量,161 gram
操控,5-way navigation
電池種類,2100 mAh
可更換電池,支援
通話時間,雙 SIM 卡最長通話時間 GSM：8.9 小時；3G：10.9
備用時間,雙 SIM 卡最長待機時間 GSM：19.3 天；3G：18.2
RAM 容量,512MB
ROM 容量,4GB
可擴充記憶,Micro SD
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,2.4 吋
螢幕類別,TFT
螢幕解像度,QVGA
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,200 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,支援
短片拍攝,MP4
短片解像度,HD
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,支援
短片播放格式,支援
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,KaiOS Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,Bluetooth 4.2
紅外線支援,不支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,WLAN IEEE 802.11 b/g/n
gps 功能,GPS/AGPS + GLONASS
電腦連線,Micro USB
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
備註,支援 VoLTE
