0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2019 年 2 月
推出日期,約 2019 年 4 月
價格,"約 HK$4,988更新日期：2019-02-26"
網絡系統,"LTE: 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 28, 32, 38, 39, 40, 41, 66 Bands HSPA+: 850, 900, 1700, 1900, 2100 MHz EDGE: 850, 900, 1800, 1900 MHz"
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 845
操作系統及版本,Android 9 Pie
機身顏色,藍
尺寸,155 x 75 x 8 mm
重量,172 gram
電池種類,3320 mAh
可更換電池,不支援
通話時間,-
備用時間,-
RAM 容量,6GB
ROM 容量,128GB
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.99 吋
螢幕類別,POLED
螢幕解像度,2K
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1200 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,2000 萬像素
閃光燈,LED
相機功能,主相機採用 1200 萬像素五鏡相機
短片拍攝,MP4
短片解像度,4K
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不詳
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.0
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac
gps 功能,"GPS/AGPS+GLONASS+BDS, NFC, ANT+"
電腦連線,USB Type-C
視頻輸出,-
