0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2012 年 8 月
推出日期,約 2012 年 8 月
價格,"約 HK$1,298更新日期：2012-08-06"
網絡系統,HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
中央處理器,1GHz
操作系統及版本,Symbian 40
機身顏色,碳黑及紅黑
尺寸,106 x 52 x 12.9 mm mm
重量,95 gram
電池種類,1100 mAh
可更換電池,不詳
通話時間,最長可達 14 小時
備用時間,最長可達700小時
RAM 容量,"256 MB ROM, 128 MB RAM"
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,3 吋
螢幕類別,TFT
螢幕解像度,240 x 400
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,-
像素,300 萬像素
自動對焦,-
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,-
短片拍攝,-
短片解像度,VGA
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3
短片播放格式,不詳
收音機,支援
串流播放格式,不詳
聲控功能,不支援
來電提示,-
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,v2.1 with EDR
紅外線支援,不支援
流動數據,"HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,不支援
電腦連線,-
視頻輸出,-
