0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2009 年 6 月
推出日期,約 2009 年 6 月
價格,"約 HK$4,398更新日期：2009-08-04"
網絡系統,HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統及版本,"Symbian OS, S60 rel. 3.2"
機身顏色,黑色、白色
尺寸,103.4 x 51.4 x 16.5 mm
重量,149 gram
操控,數字鍵盤
電池種類,鋰電池 (1200mAh)
可更換電池,不詳
通話時間,390 分鐘
備用時間,312 小時
RAM 容量,8GB
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,16GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,2.6 吋
螢幕類別,AMOLED
螢幕解像度,240 x 320
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,支援
閃光燈,支援
短片拍攝,VGA@30fps
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA
短片播放格式,MPEG4
收音機,Stereo FM 收音機
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.0、A2DP
紅外線支援,-
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,"Wi-Fi 802.11 b/g, UPnP"
gps 功能,GPS、AGPS
電腦連線,USB 2.0
視頻輸出,-
