0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2014 年 2 月
推出日期,約 2014 年 2 月
網絡系統,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2
操作系統,Android
中央處理器,Qualcomm MSM8225 Snapdragon S4 雙核 1GHz
操作系統及版本,Android 4.1.2
機身顏色,黑、白、黃、紅、藍、綠
尺寸,115.5 x 63 x 10.4 mm mm
重量,129 gram
操控,輕觸式
電池種類,1500 mAh
可更換電池,不詳
通話時間,最長可達 13 小時
備用時間,408 小時
RAM 容量,768 MB RAM / 4GB ROM
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4 吋
螢幕類別,TF
螢幕解像度,480 x 800
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,300 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,不支援
數碼變焦,-
視像鏡頭,不支援
閃光燈,不支援
短片拍攝,mp4
短片解像度,480P
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,立體聲 FM 收音機
串流播放格式,支援
聲控功能,不支援
來電提示,-
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,Bluetooth V3.0 / A2DP
紅外線支援,不支援
流動數據,"HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 b/g/n
gps 功能,GPS / A-GPS / GLONASS
電腦連線,usb 2.0
視頻輸出,-
