0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2011 年 6 月
推出日期,約 2011 年 6 月
價格,約 HK$388更新日期：2011-06-14
網絡系統,GSM 900 / GSM 1800
機身顏色,黑色、紅色
尺寸,112.2 x 47.3 x 16 mm
重量,91 gram
操控,數字鍵盤
電池種類,鋰電池 (1320mAh)
可更換電池,不詳
通話時間,13 小時
備用時間,1032 小時
RAM 容量,-
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,16GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,1.8 吋
螢幕類別,TFT
螢幕解像度,128 x 160
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,-
像素,-
自動對焦,-
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,-
短片拍攝,-
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,-
短片播放格式,-
收音機,FM 收音機
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,-
紅外線支援,-
流動數據,-
wifi 功能,-
gps 功能,-
電腦連線,-
視頻輸出,-
