0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2021 年 10 月
推出日期,約 2021 年 10 月
價格,"約 HK$4,198更新日期：2021-10-21"
網絡系統,"(5G NR):(International) n1, n2, n3, n5, n7, n28, n41, n66, n77/n78; (US + LATAM) n2, n5, n25, n38, n41, n48, n66, n77, n78 (GSM):(International) 850, 900, 1800, 1900; (US + LATAM) 850, 900, 1800, 1900 (LTE):(International) 1,2, 3, 4, 5, 7, 8, 12, 20, 28, 32, 38, 39, 40, 41, 42, 43, 66; (US + LATAM) 1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 20, 25, 26, 28, 30, 38, 40, 41, 48, 66, 71 (WCDMA):(International) 1, 2, 4, 5, 8; (US + LATAM) 1, 2, 4, 5, 8, CDMA: BC0, BC1, BC10"
Sim 咭情況,雙咭雙待 (5G+4G)
操作系統,Android
中央處理器,Snapdragon 480
圖像處理器,Adreno 619 GPU
操作系統及版本,Android 11
機身顏色,灰黑
尺寸,171.64 x 81.5 x 10.64 mm
重量,248 gram
操控,輕觸式
電池種類,4630mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,6GB RAM
ROM 容量,128GB ROM
可擴充記憶,micro SD
最大支援記憶體,1TB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.67 吋
螢幕類別,LCD
螢幕解像度,2400 X 1080
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 4800像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,雙 LED
相機功能,"功能:ZEISS Optics, ZEISS Portrait, ZEISS Cinematic Effects, SpeedWarp mode, Action Cam mode, Night mode, Cinema mode, HDR, Beautification, Panorama, Watermark 後置閃光燈:Dual-tone LED + Single LED 後置相機:48 MP AF Main, GM1st, f/1.79, 1/2.25, 0.8µm + 13 MP FF Ultrawide 3L6, f2.4, 1/3”, 1.12 µm, 123°FoV 前置鏡頭:8 MP"
短片拍攝,MP4
短片解像度,FHD
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.1
紅外線支援,不支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,"802.11 a/b/g/n/ac/ax-ready, Wi-F"
gps 功能,"GPS/A-GPS, Galileo, GLONASS/A-GLONASS, Beidou, QZSS, NavIC"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,"特大聲揚聲器 (96dB), 通過 MIL-STD-810H 軍規耐用度標準 (1.8 米摔地)又支援 IP68 防水(置於 1.5 米水深 1 小時), 掛繩位置"
