0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2022 年 6 月
推出日期,約 2022 年 6 月
價格,"約 HK$1,598更新日期：2022-06-16"
網絡系統,(GSM):（國際）850、900、1800、1900 (LTE):（國際）1、3、5、7、8、20、28、38、40、41（全頻） (WCDMA):（國際）1、5、8
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Unisoc T606
圖像處理器,Mali-G57 MC2
操作系統及版本,Android 11
機身顏色,藍、紫
尺寸,164.6 X 75.9 X 8.9 mm
重量,190 gram
操控,輕觸式
電池種類,5050 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,6GB RAM
ROM 容量,128GB ROM
可擴充記憶,micro SD
最大支援記憶體,512GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.5 吋
螢幕類別,TFT
螢幕解像度,1600 X 720
螢幕備註,90Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 5000 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,支援
相機功能,後置相機:50 MP 主鏡頭 1/2.76“ CMOS、0.64um、 5P 鏡頭、f/1.8 + 2 MP 微距 + 2 MP 長度 前置鏡頭:8 MP 後置閃光燈 LED
短片拍攝,MP4
短片解像度,FHD
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.0
紅外線支援,不支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 a/b/g/n/ac（2.4/5G 雙頻）
gps 功能,GPS/AGPS+GLONASS+GALILEO
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,18W 充電功能（預設內置充電器為 10W）
