0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,OnePlus
發表日期,約 2022 年 1 月
推出日期,約 2022 年 1 月
網絡系統,"LTE-FDD：B1,2,3,4,5,7,8,12,17,18,19,20,26,28A LTE-TDD：B34,38,39,40,41 MIMO：LTE：B1,B3,B38,B39,B40,B41 NR：n1,n3,n40,n41,n78,n79 WCDMA：B1,2,4,5,8,19 5G NSA：n1,n3,n5,n8,n40,n41,n78,n79 5G SA：n1,n3,n5,n8,n28A,n40,n41,n78,n79 CDMA：BC0 GSM：B2, 3, 5"
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,ColorOS 12.1
中央處理器,Snapdragon 8 Gen 1
圖像處理器,Adreno 730
操作系統及版本,Android 12
機身顏色,黑、綠
尺寸,163 x 73.9 x 8.6 mm
重量,201 gram
操控,輕觸式
電池種類,4880 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB/12GB RAM
ROM 容量,128GB/256GB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.7 吋
螢幕類別,AMOLED
螢幕解像度,3216 X 1440
螢幕備註,120Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 4800 萬像素
自動對焦,支援
光學防震,支援
光學變焦,3.3 X
數碼變焦,-
視像鏡頭,3200 萬像素
閃光燈,LED 閃光燈
相機功能,"後置攝像頭 廣角攝像頭：4800 萬像素，IMX789，1/1.43""，1.12μm，7P，光圈：f/1.8，OIS，等效焦距：23mm 超廣角攝像頭: 5000 萬像素，JN1，1/2.76""，0.64μm，6P，f/2.2，150° 超大廣角 長焦攝像頭: 800 萬像素，5P，f/2.4，OIS，等效77mm（3.3x）"
短片拍攝,MP4
短片解像度,8K (30fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.2
紅外線支援,不支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,iFi 802.11 a/b/g/n/ac/ax 藍牙
gps 功能,GPS，GLONASS，北斗，Galileo 定位系統
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,80W 超級閃充、50W 無線閃充
