0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,OnePlus
發表日期,約 2018 年 5 月
推出日期,約 2018 年 5 月
價格,"約 HK$3,998更新日期：2019-09-05"
網絡系統,FDD LTE: Band 1/2/3/4/5/7/8/12/17/18/19/20/25/26/28/29/30/32/66/71 TDD LTE: Band 34/38/39/40/41 TD-SCDMA: Band 34/39 UMTS(WCDMA): Band 1/2/4/5/8/9/19 CDMA: BC0/BC1 GSM: 850/900/1800/1900 MHz
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,OxygenOS
中央處理器,Snapdragon 845
圖像處理器,Adreno 630
操作系統及版本,Android 8.0
機身顏色,鏡面黑、啞黑及白色
尺寸,155.7 x 75.4 x 7.75 mm
重量,177 gram
操控,輕觸式
電池種類,3300 mAh
可更換電池,不支援
通話時間,官方未有提供
備用時間,官方未有提供
RAM 容量,6GB/8GB
ROM 容量,64GB/128GB/256GB
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.28 吋
螢幕類別,IPS
螢幕解像度,2160 X 1080
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 1600 萬 像素
自動對焦,支援
光學防震,支援
光學變焦,-
數碼變焦,-
視像鏡頭,1600 萬像素
閃光燈,LED 閃光燈
相機功能,主相機為 1600 萬像素 + 2000 萬像素鏡頭
短片拍攝,MP4
短片解像度,4K
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"Playback: MP3, AAC, AAC+, WMA, AMR-NB, AMR-WB, WAV, FLAC, APE, OGG, MID, M4A, IMY"
短片播放格式,"Playback: MKV, MOV, MP4, H.265(HEVC), AVI, WMV, TS, 3GP, FLV, WE"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Sore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,"Bluetooth 5.0, support aptX & aptX HD"
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,"2x2 MIMO, Wi-Fi 802.11 a/b/g/n/a"
gps 功能,"GPS, GLONASS, BeiDou, Galileo"
電腦連線,USB Type-C
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,支援人面識別
