0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,oppo
發表日期,約 2020 年 5 月
推出日期,約 2020 年 5 月
價格,"約 HK$9,999更新日期：2021-11-01"
網絡系統,NR TDD：n40/41/78 NR FDD：n5/28A LTE TDD: Bands 34/38/39/40/41/42 LTE FDD: Bands 1/2/3/4/5/7/8/12/13/17/18/19/20/25/26/28/29/32/66 WCDMA: Bands 1/2/4/5/6/8/19 GSM: 850/900/1800/1900MHz
Sim 咭情況,單 nano SIM
操作系統,Android
操作介面,Color OS 7.0
中央處理器,Snapdragon 865
圖像處理器,Adreno 650 GPU
操作系統及版本,Android 10
機身顏色,黑、橙
尺寸,165.2 X 74.4 X 8.8mm mm
重量,207 gram
操控,輕觸式
電池種類,4260 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,12GB LPDDR5
ROM 容量,512GB ROM UFS 3.0
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.7 吋
螢幕類別,OLED
螢幕解像度,3168 X 1440
螢幕備註,120Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 4800像素
自動對焦,支援
光學防震,支援
光學變焦,3 X
數碼變焦,60X
視像鏡頭,3200 萬像素
閃光燈,支援
相機功能,"主鏡頭 : 超感變焦三鏡頭 4800萬畫素主鏡頭 Sony IMX689 感光元件 ,1/2”感光面積,F2.2 光圈,6P鏡頭,120° 超廣視角,3cm 超級微距,超高畫質夜景 3.0 ,極致錄影防手震 4800萬畫素超廣角鏡頭 Sony IMX586 感光元件 ,1/2”感光面積,F2.2 光圈,6P鏡頭,120° 超廣視角,3cm 超級微距,超高畫質夜景 3.0 ,極致錄影防手震 1300 萬畫素 潛望式長焦鏡頭 F3.0 光圈,5P 鏡頭,第二代 10倍混合光學變焦,最高 60 倍數位變焦,超高畫質夜景 3.0 前鏡頭 : 3200萬超清晰自拍鏡頭 F2.4 光圈,5P 鏡頭,AI 智慧美顏,智慧補光模式,夜景演算法 影像防手震: OIS 光學防手震 + EIS電子防手震 聚焦方式 : 反差對焦(CDAF) + 相位對焦(PDAF) + 雷射對焦(LAF) 拍攝模式 : 照片,影片,專業模式,全景模式,人像模式,夜景模式,縮時攝影,慢動作,等等. 圖像尺寸 : 主鏡頭最高支援8000*6000 解析度(4800萬畫素模式)與4000*3000解析度(一般模式); 前鏡頭最高支援6560*4928解析度 影片支援格式 : 主鏡頭最高支援4K 60fps/30fps, 1080P 60fps/30fps, 720P 60fps/30fps拍攝; 前鏡頭最高支援1080P/720P 30fps拍攝"
短片拍攝,MP4
短片解像度,4K (60 fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3/mp4/3gp/ogg/amr/aac/flac/midi
短片播放格式,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth v5.1
紅外線支援,不支援
流動數據,"5G,LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a/b/g/n/ac/ax
gps 功能,GPS、A-GPS、北斗衛星導航、全球導航衛星、伽利略定位
電腦連線,USB Type-C 3.1
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
