0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,oppo
發表日期,約 2021 年 1 月
推出日期,約 2021 年 1 月
價格,"約 HK$4,799更新日期：2021-06-24"
網絡系統,SIM Card 1 2G：GSM: 850/900/1800/1900MHz 3G：WCDMA: Bands 1/2/4/5/6/8/19 4G：FDD-LTE: Bands 1/2/3/4/5/7/8/12/17/18/19/20/26/28/66 4G：TD-LTE: Bands 38/39/40/41 5G : n77/78/38/40/41/1/3/5/7/8/20/28 SIM Card 2 2G：GSM: 850/900/1800/1900MHz 3G：WCDMA: Bands 1/2/4/5/6/8/19 4G：FDD-LTE: Bands 1/2/3/4/5/7/8/12/17/18/19/20/26/28/66 4G：TD-LTE: Bands 38/39/40/41
Sim 咭情況,5G+4G
操作系統,Android
操作介面,ColorOS 11.1
中央處理器,MTK Dimensity 1000+
圖像處理器,ARM Mali-G77 MP9
操作系統及版本,Android 11
機身顏色,幻彩銀、星夜黑
尺寸,159.7 x 73.2 x 7.6 mm
重量,173 gram
操控,輕觸式
電池種類,4350 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,12GB RAM
ROM 容量,256GB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.55 吋
螢幕類別,AMOLED
螢幕解像度,2160 X 1080
螢幕備註,90Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 6400 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,3200 萬像素
閃光燈,LED
相機功能,"6,400 萬畫素主鏡頭:f/1.7 光圈;視角角度:81°;採用閉環對焦馬達 800 萬畫素超廣角鏡頭:f/2.2 光圈;視角角度:115° 200 萬畫素微距鏡頭:f/2.4 光圈; 視角角度:89° 200 萬畫素人像黑白鏡頭:f/2.4 光圈; 視角角度:89°;"
短片拍攝,MP4
短片解像度,4K (30fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.0
紅外線支援,不支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,WLAN 2.4G/WLAN 5.1G/WLAN 5.8G/
gps 功能,"內置GPS,支援 A-GPS,北鬥,GLONASS,Galileo,QZSS"
電腦連線,USB Type-C 2.0
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,指紋解鎖與臉部辨識、65W SuperVOOC 超級閃充 2.0、90Hz 刷新率；180Hz 觸控採樣率
