0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,oppo
發表日期,約 2022 年 4 月
推出日期,約 2022 年 4 月
價格,"約 HK$4,999更新日期：2022-05-03"
網絡系統,5G: 700/800/850/900/1800/2100/2300/2600/2496-2690/2570-2620/3300-3800/3300-4200MHz 2G/3G/4G： GSM: 850/900/1800/1900MHz WCDMA: 850/900/1700/1900/2100MHz FDD-LTE: 700/800/850/900/1500/1700/1800/1900/2100/2600MHz TDD-LTE: 1900/2300/2496-2690/2570-2620MHz
Sim 咭情況,雙咭雙待 (5G+5G)
操作系統,Android
操作介面,ColorOS 12
中央處理器,MTK Dimensity 1200 Max
操作系統及版本,Android 11
機身顏色,"星河漸變,星雨藍"
尺寸,158.2 X 73.2 X 7.45 mm
重量,180 gram
操控,輕觸式
電池種類,4500mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB RAM
ROM 容量,256GB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.5 吋
螢幕類別,AMOLED
螢幕解像度,2400 X 1080
螢幕備註,90Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 5000 萬像素
自動對焦,支援
光學防震,支援
光學變焦,-
數碼變焦,-
視像鏡頭,3200 萬像素
閃光燈,支援
相機功能,5000萬畫素主鏡頭：f/1.8光圈 800萬畫素廣角鏡頭: f/2.2光圈 200萬畫素微距鏡頭: f/2.4光圈
短片拍攝,MP4
短片解像度,4K 30 fps
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.2
紅外線支援,不支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac/6
gps 功能,"BeiDou , GPS, GLONASS,GALILEO, QZSS"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,支援65W SuperVOOC 2.0 超級閃充
