0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,realme
發表日期,約 2020 年 8 月
推出日期,約 2020 年 8 月
價格,"約 HK$2,799更新日期：2021-06-24"
網絡系統,5G NR: n1/3/5/7/8/20/28/38/40/41/77/78 4G FDD-LTE: Bands 1/2/3/4/5/7/8/12/17/18/19/20/26/28/66 4G TDD-LTE: Bands 38/39/40/41 3G WCDMA: Bands 1/2/4/5/6/8/19 GSM: 850/900/1800/1900MHz
Sim 咭情況,5G+5G 雙咭雙待
操作系統,Android
中央處理器,MediaTek Dimensity 800U
圖像處理器,Mali-G57 MC3
操作系統及版本,Android 10
機身顏色,銀色及藍色
尺寸,162.2 x 75.1 x 9.1 mm
重量,195 gram
操控,輕觸式
電池種類,5000mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB RAM
ROM 容量,128GB ROM
可擴充記憶,micro SD
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.5 吋
螢幕類別,TFT
螢幕解像度,2400 x 1080
螢幕備註,120Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 4800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,1600 萬像素
閃光燈,LED 閃光燈
相機功能,後置鏡頭 4800萬超高畫素主鏡頭 F1.8 大光圈 6P 鏡頭 最大輸出解析度 8000*6000 800萬超廣角鏡頭 119° 超廣角 F2.3 光圈 5P 鏡頭 B＆W 人像鏡頭 F2.4 光圈 3P 鏡頭 200萬微距鏡頭 4cm 對焦距離 F2.4 光圈 3P 鏡頭 拍照功能 48M 模式、超級夜景、全景、專業、縮時攝影、人像模式、HDR、超廣角、超級微距、AI 場景辨識、AI 智慧美顏、炫彩模式、濾鏡、景深調節 錄影功能 支援 UIS 和 UIS MAX 錄影超級防手震 支援超廣角錄影 支援慢動作錄影 支援 4K／30fps 錄影 支援 1080p／30fps、60fps 錄影 支援 720p／30fps、60fps 錄影
短片拍攝,MP4
短片解像度,4K (30fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.0
紅外線支援,不支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,WiFi 802.11a/b/g/n/ac/ax
gps 功能,"GPS,Galileo,GLONASS,Beidou,AGPS"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
