0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2013 年 2 月
推出日期,約 2013 年 2 月
價格,"約 HK$1,999更新日期：2014-01-14"
網絡系統,WCDMA HSPA+ 42 (850/900/1900/2100MHz) + GSM (850/900/1800/1900MHz)
操作系統,Windows Phone
中央處理器,雙核 1.5 Ghz
操作系統及版本,Windows Phone 8
機身顏色,銀色
尺寸,137.2 x 70.52 x 8.7 mm
重量,135 gram
操控,輕觸式
電池種類,鋰電池 (2300mAh)
可更換電池,不詳
通話時間,高達22小時22分鐘 (2G) ; 13小時49分鐘 (3G)
備用時間,高達475小時 (2G) ; 455小時 (3G)
RAM 容量,1G RAM / 16GB 內置記憶
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,64GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.8 吋
螢幕類別,HD Super AMOLED
螢幕解像度,1280 x 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,120 萬像素
閃光燈,LED
短片拍攝,mp4
短片解像度,1080p
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3, AAC, AAC+, eAAC+, WMA, WAV"
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,立體聲 FM 收音機
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v3.1、A2DP
紅外線支援,不支援
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,GPS、AGPS
電腦連線,microUSB
視頻輸出,DLNA 無線串流媒體，可從手
