0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2020 年 6 月
推出日期,約 2020 年 6 月
價格,"約 HK$1,898更新日期：2020-06-09"
網絡系統,"4G FDD-LTE: B1(2100),B2(1900),B3(1800), B5(850),B7(2600),B8(900), B20(800),B28(700) 4G TDD-LTE: B38(2600),B40(2300),B41(2500) 3G WCDMA: B1(2100),B2(1900),B5(850),B8(900) 2G GSM: GSM850,GSM900,DCS1800,PCS1900"
Sim 咭情況,雙咭雙待 支援三卡槽 (2 SIM卡槽+ 1 microSD卡槽)
操作系統,Android
操作介面,Q OS
中央處理器,Octa 2.0GHz
操作系統及版本,Android 10
機身顏色,白色、藍色
尺寸,163.7x 75.3 x 8.9 mm
重量,192 gram
操控,輕觸式
電池種類,5000mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,6GB
ROM 容量,64GB
可擴充記憶,Micro SD
最大支援記憶體,512GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.5 吋
螢幕類別,TFT
螢幕解像度,1600 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 4800 萬像素 像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,1300 萬像素
閃光燈,LED 閃光燈
相機功能,"• 4 後置鏡頭︰ - 主鏡頭︰4800萬像素自動對焦鏡頭連 F2.0大光圈，配備LED閃光燈 - 景深鏡頭︰200萬像素連F2.4大光圈 - 超廣角鏡頭︰800萬像素123º 超廣角拍攝鏡頭連F2.2大光圈 - 微距鏡頭(40mm)︰200萬像素連F2.4大光圈 • 前置鏡頭︰1,300萬像素鏡頭連F2.2大光圈 • 快速啟動相機 （快速按電源鍵兩次直接進入拍攝模式） • 自拍︰美化效果，手勢控制，自拍對焦，貼紙，景深即時預覽 • 實時美圖功能︰光滑度、亮度、下顎輪廓、眼睛 • 相機模式︰食物、全景、專業、景深即時預覽、相片、影片、微距 • 濾鏡︰ 原始、暖色、冷色、棒棒糖、淺色、開花、象牙白、褪色、柔和、輕吻、灰階、經典、黑白 • 白平衡：自動及手動 （可調校） • 功能：曝光值、臉部偵測、位置標籤、計時器、測光、ISO • 影像攝錄及播放： • 播放：FHD (1,920 x 1,080) • 錄影：FHD (1,920 x 1,080)"
短片拍攝,MP4
短片解像度,1920 X 1080
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA"
短片播放格式,"MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,"V5.0 (A2DP, AVRCP, DI, HFP, HID, HOGP, HSP, MAP, OPP, PAN, PBAP,"
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,IEEE 802.11 a/b/g/n/ac 2.4GHz +
gps 功能,GPS/ GLONASS/ Beidou/ Galileo
電腦連線,USB type C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,不支援 Samsung Pay
