0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2016 年 1 月
推出日期,約 2016 年 1 月
網絡系統,"2G GSM GSM850, GSM900, DCS1800, PCS1900 WCDMA B1(2100), B2(1900), B5(850), B8(900) 4G FDD LTE B3(1800), B7(2600) 4G TDD LTE B38(2600), B39(1900), B40(2300), B41(2500)"
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,八核 CPU ( 4 核1.5GHz + 4 核1.2GHz)
圖像處理器,Mali-T720 MP2
操作系統及版本,Android 5.1
機身顏色,黑、金
尺寸,144.8 x 71 x 7.3 mm
重量,155 gram
操控,輕解式
電池種類,2900 mAh
可更換電池,不支援
通話時間,3G 長達 13 小時
備用時間,3G 長達 400 小時
RAM 容量,2GB RAM
ROM 容量,16GB ROM
可擴充記憶,microsd
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.2 吋
螢幕類別,SUPER AMOLED
螢幕解像度,1920 X 1080
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,500 萬像素
閃光燈,LED
相機功能,f/1.9 光圈
短片拍攝,mp4
短片解像度,1920 X 1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA"
短片播放格式,"MP4,M4V,3GP,WMV,ASF,AVI,FLV,MKV,WEBM"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Android
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙4.1、A2DP
紅外線支援,不支援
流動數據,"2G GSM, 2G CDMA, 3G WCDMA, 3G CDMA, 3G TD-SCDMA, 4G FDD LTE, 4G"
wifi 功能,802.11 a/b/g/n 2.4+5GHz
gps 功能,"A-GPS, GLONASS, 北斗星"
電腦連線,USB 2.0
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
