0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2020 年 1 月
推出日期,約 2020 年 1 月
價格,"約 HK$3,598更新日期：2022-06-22"
網絡系統,"4G FDD-LTE: B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),B13(700),B17(700),B20(800),B28(700),B66(AWS-3) 4G TDD-LTE: B38(2600),B40(2300),B41(2500) 3G UMTS(WCDMA): B1(2100), B2(1900), B5(850), B8(900), B4(AWS) 2G GSM: GSM850, GSM900, DCS1800, PCS1900"
Sim 咭情況,支援三卡槽 (2 SIM卡槽+ 1 microSD卡槽)
操作系統,Android
操作介面,One UI
中央處理器,Snapdragon 730 八核 CPU (2.2GHz + 1.8GHz)
圖像處理器,Adreno 618
操作系統及版本,Android 10
機身顏色,稜鏡黑、稜鏡銀、稜鏡粉紅
尺寸,163.5 x 75.9 x 7.9 mm
重量,183 gram
操控,輕觸式
電池種類,4500 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB
ROM 容量,128GB
可擴充記憶,Micro SD
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.7 吋
螢幕類別,AMOLED
螢幕解像度,2400 x 1080
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,四鏡頭 6400 萬像素 像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,3200 萬像素
閃光燈,LED 閃光燈
相機功能,"1) 智能4後置鏡頭： - 低光拍攝主鏡頭：6,400萬像素自動對焦鏡頭連 F1.8大光圈，配備LED閃光燈 - 超廣角鏡頭：1,200萬像素123º 超廣角拍攝鏡頭連F2.2大光圈 - 景深鏡頭：500萬像素連F2.2大光圈 - 微距鏡頭(40mm)：500萬像素連F2.4大光圈 - 景深即時預覽 - 拍攝建議 - 極致防手震攝錄 2) 前置鏡頭︰3,200萬像素鏡頭連F2.2大光圈 3) 人像AR Emoji： · 自拍並創造你專屬的人像AR Emoji · 用人像AR Emoji製成多款貼紙，在主流的社交網絡平台（WhatsApp、微信、LINE、 SMS等）分享給朋友"
短片拍攝,MP4
短片解像度,4K (30fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA"
短片播放格式,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,"V5.0 (A2DP, AVRCP, DI, HFP, HID, HOGP, HSP, MAP, OPP, PAN, PBAP"
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,IEEE 802.11 a/b/g/n/ac 2.4GHz +
gps 功能,GPSD / GLONASS/ Beidou/ Galileo
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,支援 3.5mm 耳機插頭
