0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2013 年 8 月
推出日期,約 2013 年 8 月
價格,"約 HK$1,998更新日期：2013-08-13"
網絡系統,WCDMA (900/2100MHz) + GSM (850/900/1800/1900MHz)
操作系統,Android
中央處理器,雙核 1 GHz
操作系統及版本,Android OS 4.2.2
機身顏色,黑色、白色
尺寸,121.2 x 62.7 x 10 mm
重量,120 gram
操控,輕觸式
電池種類,1500 mAh
可更換電池,不詳
通話時間,高達8小時(2G)，7小時(3G)
備用時間,高達 570小時 (2G)，540小時 (3G)
RAM 容量,4GB 內置記憶體、1GB RAM
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4 吋
螢幕類別,TFT
螢幕解像度,480 x 800
螢幕備註,輕觸式
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,500 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,不支援
數碼變焦,不支援
視像鏡頭,VGA
閃光燈,LED
相機功能,拍攝模式：美麗 、一笑即拍、全景、懷舊、動作拍攝及卡通 場景模式：人像、風景、夜間、運動、派對/室內、海灘/雪景、日落、日出、秋色、煙花、文字、燭光、背光
短片拍攝,mp4
短片解像度,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3, AMR-NB / AMR-WB, AAC, AAC+, e-AAC+, WAV, FLAC"
短片播放格式,"3GP, H.263, H.264, MPEG4, MKV"
收音機,Stereo FM 收音機
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,V4.0 (A2DP / AVRCP)
紅外線支援,不支援
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi: 802.11 b/g/n
gps 功能,GPS全球定位系統 (支援 A-GPS / GLONASS)
電腦連線,microUSB 2.0
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不詳
參考網址,http://www.samsung.com/hk/consumer/mobile/mobile-phones/smartphone/GT-S7270UWATGY-spec
