0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2017 年 2 月
推出日期,約 2017 年 2 月
網絡系統,"4G TD-LTE：B38(2600),B39(1900),B40(2300),B41(2500) 4G FDD-LTE：B1(2100),B3(1800), B5(850), B7(2600),B8(900) 3G TD-SCDMA：B34(2010)、B39(1880) 3G UMTS (WCDMA)：B1(2100)、B2(1900)、B5(850)、B8(900) 3G CDMA：BC0(800) 2G GSM：GSM850、GSM900、DCS1800、PCS1900 2G CDMA：CDMA800"
Sim 咭情況,支援雙卡雙待
操作系統,Android
中央處理器,Snapdragon 626
圖像處理器,Adreno 506
操作系統及版本,Android 6
機身顏色,深藍、粉紅金、金
尺寸,156.5 X 77.2 X 7.0 mm
重量,172 gram
操控,輕觸式
電池種類,3300 mAh
可更換電池,不支援
通話時間,3G 最長可達 14 小時
備用時間,3G 最長可達 300 小時
RAM 容量,4GB RAM
ROM 容量,64GB ROM
可擴充記憶,microsd
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.7 吋
螢幕類別,Super AMOLED
螢幕解像度,1920 X 1080
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1600 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,1600 萬像素
閃光燈,LED
短片拍攝,mp4
短片解像度,1920 X1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、M4A、3GA、AAC、OGG、OGA、WAV、WMA、AMR、AWB、FLAC、MID、MIDI、XMF、MXMF、IMY、RTTTL、RTX、OTA
短片播放格式,MP4、M4V、3GP、WMV、ASF、AVI、FLV、MKV、WEBM
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 v4.1
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 a/b/g/n (2.4+5GHz)
gps 功能,GPS/ GLONASS/ Beidou
電腦連線,usb 2.0
視頻輸出,不支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,(可於手機上選擇以Sim 1或Sim 2接收4G網絡，無需更換SIM卡)
