0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2013 年 12 月
推出日期,約 2013 年 12 月
價格,"約 HK$1,598更新日期：2015-10-29"
網絡系統,FDD-LTE (800/900/1800/2600MHz) WCDMA (850/900/2100MHz) GSM (850/900/1800/1900MHz)
操作系統,Android
中央處理器,雙核 1.7 GHz
圖像處理器,Adreno 305
操作系統及版本,Android 4.2.2
機身顏色,藍色、白色
尺寸,132.44 x 65.76 x 9 mm
重量,134 gram
操控,輕觸式
電池種類,2100mah
可更換電池,支援
通話時間,高達 11小時(3G)
備用時間,"高達 480小時 (3G), 高達 510小時 (4G)"
RAM 容量,1GB RAM
ROM 容量,8GB ROM
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.5 吋
螢幕類別,Super AMOLED+
螢幕解像度,480 X 800
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,500 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,130 萬
閃光燈,LED
相機功能,"拍攝模式: 自動，夜間，運動，全景，有聲拍攝，連續拍攝，最佳相片  白平衡: 自動、白天、 陰天、白熾燈及日光燈  自拍計時器: 2秒, 5秒, 10秒"
短片拍攝,mp4
短片解像度,1280 X 720
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3, AMR-NB / AMR-WB, AAC, AAC+, e-AAC+, WAV"
短片播放格式,"3GP, H.263, H.264, MPEG4, MKV, WMV, AVI, WebM"
收音機,支援
串流播放格式,支援
聲控功能,S Voice
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,藍牙#: V4.0 (A2DP / AVRCP)
紅外線支援,不支援
流動數據,LTE、HSDPA、UMTS、EDGE、GPRS
wifi 功能,802.11 a/b/g/n
gps 功能,GPS / A-GPS
電腦連線,usb 2.0
視頻輸出,不詳
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不詳
參考網址,http://www.samsung.com/hk/consumer/mobile/mobile-phones/smartphone/SM-G3815RWATGY-spec
