0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2013 年 3 月
推出日期,約 2013 年 3 月
價格,"約 HK$3,698更新日期：2013-03-21"
網絡系統,FDD-LTE (800/900/1800/2600MHz) + WCDMA (850/900/2100MHz)+GSM (850/900/1800/1900MHz)
操作系統,Android
中央處理器,雙核 1.2 GHz
操作系統及版本,Android 4.1
機身顏色,純白色、鈦灰色
尺寸,132.7 x 69.1 x 9.3 mm
重量,137 gram
操控,輕觸式
電池種類,2000mah
可更換電池,不詳
通話時間,"高達480分鐘 (2G), 高達 360分鐘 (3G)"
備用時間,"高達 200小時 (2G), 高達 180小時 (3G), 高達"
RAM 容量,8GB ROM (RAM：1GB)
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.5 吋
螢幕類別,Super AMOLED+
螢幕解像度,480 X 800
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,500 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,不支援
數碼變焦,-
視像鏡頭,130 萬
閃光燈,LED
相機功能,拍攝模式: 單張拍攝、一笑即拍、全景、卡通、分享拍攝、好友相片分享 場景模式: 人像、風景、夜間、運動、海灘/雪景、日落、日出、秋色、煙花、文字、燭光、背光 效果: 一般、底片、 黑
短片拍攝,mp4
短片解像度,1280 X 720
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3, AMR, AAC, AAC+, e-AAC+, WMA, OGG, FLAC, 3GA, M4A, WAV, Midi, i-melody, XMF, RTTTL/RTX, OTA"
短片播放格式,"3gp, H.263, H.264, MPEG4, WMV, xvid"
收音機,支援
串流播放格式,支援
聲控功能,S Voice
來電提示,震動提示 / 來電響鈴 /
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,Bluetooth V4.0 (A2DP/ AVRCP)
紅外線支援,不支援
流動數據,LTE、HSDPA、UMTS、EDGE、GPRS
wifi 功能,802.11 a/b/g/n
gps 功能,GPS / A-GPS
電腦連線,usb 2.0
視頻輸出,不詳
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不詳
參考網址,http://www.samsung.com/hk/consumer/mobile/mobile-phones/smartphone/GT-I8730ZWATGY
