0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2019 年 11 月
推出日期,約 2019 年 11 月
網絡系統,"4G FDD-LTE: B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),B13(700), B18(800),B19(800),B20(800),B25(1900),B26(850),B28(700) 4G TDD-LTE: B34(2010),B38(2600),B39(1900),B40(2300),B41(2500) 3G WCDMA: B1(2100),B2(1900),B5(850),B8(900) 3G TD-SCDMA: B34(2010),B39(1880) 3G CDMA: BC0(800) 2G GSM: GSM850,GSM900,DCS1800,PCS1900 2G CDMA: CDMA800"
Sim 咭情況,單 SIM 咭
操作系統,Android
操作介面,ONE UI
中央處理器,Snapdragon 855
圖像處理器,Adreno 640
操作系統及版本,Android 9 Pie
機身顏色,太空銀、宇宙黑
尺寸,160.9 x 62.8 x 17.1 mm
重量,276 gram
操控,輕觸式
電池種類,4380 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,12GB
ROM 容量,512GB
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.6 及 7.3 吋
螢幕類別,AMOLED
螢幕解像度,外屏 1680 x 720 內屏 2152 x 1536
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 1200像素
自動對焦,支援
光學防震,支援
光學變焦,2 X
數碼變焦,-
視像鏡頭,1000 萬像素
閃光燈,支援
相機功能,後置鏡頭： •	後置鏡頭1: 超廣角16MP (F2.2) •	後置鏡頭2: 廣角12MP配備Dual Pixel及光學防震（OIS）(F1.5/F2.4) •	後置鏡頭3: 遠攝12MP配備光學防震（OIS）(F2.4) •	支援景深即時預覽 •	支援自動場景優化功能及拍攝建議功能 前置鏡頭： •	前置鏡頭1: 10MP (F2.2) •	前置鏡頭2: 8MP (F1.9) 機面鏡頭： •	機面鏡頭1: 10MP (F2.2) 影像攝錄及播放 •	UHD(4K): 3840 x 2160 pixel(前/後置鏡頭) 錄影模式: 超慢動作、縮時
短片拍攝,MP4
短片解像度,4K 30fps
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA, DFF, DSF, APE"
短片播放格式,"MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.0
紅外線支援,不支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,IEEE 802.11 a/b/g/n/ac/ax 2.4G+5
gps 功能,"GPS (Support A-GPS), GLONASS, Be"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,"支援無線快速充電，逆向無線充電，機面設 4.6” 屏幕，手機打開時可使用 7.3"" 屏幕"
