0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2014 年 10 月
推出日期,約 2014 年 6 月
價格,"約 HK$1,710更新日期：2022-02-23"
網絡系統,SIM 1： TD-LTE (1900/2300/ 2500/2600MHz) FDD-LTE (1800/2600MHz) TD-SCDMA (1880/2010MHz) WCDMA (850/900/1900/2100MHz) GSM (850/900/1800/1900MHz) SIM 2： GSM (850/900/1800/1900MHz)
操作系統,Android
中央處理器,A7 架構四核 1.2 GHz
圖像處理器,Adreno 306
操作系統及版本,Android 4.4
機身顏色,灰、白
尺寸,144.8 x 72.1 x 8.6 mm
重量,156 gram
操控,輕觸式
電池種類,2600 mAh
可更換電池,支援
通話時間,最高 11 小時
備用時間,最高 430 小時
RAM 容量,1 GB RAM
ROM 容量,8 GB ROM
可擴充記憶,microsd
最大支援記憶體,64GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5 吋
螢幕類別,TFT
螢幕解像度,540 X 960
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,4X
視像鏡頭,500 萬像素
閃光燈,LED
短片拍攝,mp4
短片解像度,1080P
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,立體聲 FM 收音機
串流播放格式,支援
聲控功能,支援
來電提示,震動提示、來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V4.0 / A2DP
紅外線支援,不支援
流動數據,"HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 b/g/n
gps 功能,GPS / A-GPS / GLONASS
電腦連線,usb 2.0
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
備註,支援雙咭雙待功能
