0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2014 年 9 月
推出日期,約 2014 年 9 月
價格,"約 HK$2,250更新日期：2022-02-23"
網絡系統,Sim 1： 4G TDD-LTE：(1900 / 2300 / 2500 / 2600) 4G FDD-LTE：1800 / 2100 / 2600MHz 3G WCDMA：850 / 900 / 1900 / 2100MHz 3G TDSCDMA：1880 / 2010 2G GSM：850 / 900 / 1800 / 1900MHz Sim 2： GSM：850 / 900 / 1800 / 1900MHz
操作系統,Android
中央處理器,Snapdragon 410 四核 1.2 GHz CPU
圖像處理器,Adreno 306
操作系統及版本,Android 4.4.2
機身顏色,黑啡、白
尺寸,163.6 x 84.9 x 8.6 mm
重量,194 gram
操控,輕觸式
電池種類,2800 mAh
可更換電池,支援
通話時間,高達 13 小時 (3G)
備用時間,345 小時 (4G)
RAM 容量,2GB RAM
ROM 容量,8GB ROM
可擴充記憶,microsd
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6 吋
螢幕類別,TFT
螢幕解像度,1280 X 720
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,500 萬像素
閃光燈,LED 閃光燈
短片拍攝,mp4
短片解像度,1920 X1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,AAC、AMR、ACC+、IMY、MP3、OTA、WMA
短片播放格式,MP4、M4V、3GP、WMV、AVI、FLV、MKV
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Google PlayStore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 v4.0
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,"GPS, A-GPS, GLONASS"
電腦連線,usb 2.0
視頻輸出,MHL
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
備註,支援雙咭雙待 (4G +2G)
