0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2013 年 4 月
推出日期,約 2013 年 4 月
價格,"約 HK$4,698更新日期：2013-07-15"
網絡系統,FDD-LTE (800/850/900/1800/2100/2600MHz) WCDMA (850/900/1900/2100MHz) + GSM (850/900/1800/1900MHz)
操作系統,Android
中央處理器,雙核 1.7GHz
操作系統及版本,Android 4.2.2
機身顏色,"黑色, 白色, 紫色"
尺寸,167.6 x 88 x 8 mm
重量,199 gram
操控,輕觸式
電池種類,3200mAh
可更換電池,不詳
通話時間,高達 26.5小時 (2G); 17小時 (3G)
備用時間,高達 675.5小時 (2G); 420小時 (3G); 39
RAM 容量,1.5GB RAM/ 16 GB ROM
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,64GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.3 吋
螢幕類別,TFT
螢幕解像度,1280 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,不支援
數碼變焦,-
視像鏡頭,190 萬素
閃光燈,LED
相機功能,主鏡頭: 800萬像素自動對焦相機 前置鏡頭: 190萬像素 閃光燈: 超強LED閃光燈 Voice Control (以聲音控制拍攝相片) 臉部偵測 / 防手震 拍攝模式: 美肌、最佳照片、連續拍攝、Best Face(最佳臉部表情)
短片拍攝,-
短片解像度,1920 X1080
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3 / OGG / AAC / AAC+ / eAAC+ / AMR / MIDI / WAV / FLAC / WMA / IMY
短片播放格式,H.263 / H.264 / WMV / MPEG4 / 3GP / AVI / FLV / MKV
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,Bluetooth V4.0 / A2DP
紅外線支援,支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE"
wifi 功能,"IEEE 802.11 a/b/g/n/ac 2.4+5GHz,"
gps 功能,"GPS (支援 A-GPS, GLONASS)"
電腦連線,usb 2.0
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不詳
參考網址,http://www.samsung.com/hk/consumer/mobile/mobile-phones/smartphone/GT-I9205ZKETGY-features
