0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2020 年 8 月
推出日期,約 2020 年 8 月
網絡系統,"5G Sub-6 FDD: N1(2100) 5G Sub-6 TDD: N41(2500),N78(3500),N79(4500) 4G FDD-LTE: B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),B13(700), B18(800),B19(800),B20(800),B25(1900),B26(850),B28(700) 4G TDD-LTE: B34(2010),B38(2600),B39(1900),B40(2300),B41(2500) 3G WCDMA: B1(2100),B2(1900), B5(850),B8(900) 2G GSM: GSM850,GSM900,DCS1800,PCS1900"
Sim 咭情況,雙咭雙待 (5G + 4G)
操作系統,Android
操作介面,One UI
中央處理器,Snapdragon 865+
圖像處理器,Adreno 650
操作系統及版本,Android 10
機身顏色,霧光銅、霧光綠、霧光灰
尺寸,161.6 X 75.2 X 8.3 mm
重量,192 gram
操控,輕觸式
電池種類,4300 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB
ROM 容量,128GB
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.7 吋
螢幕類別,AMOLED
螢幕解像度,2400 x 1080
螢幕備註,120Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,3 X
數碼變焦,30X
視像鏡頭,1000 萬像素
閃光燈,LED 閃光燈
相機功能,後置鏡頭 1：超廣角12MP (F2.2) 後置鏡頭 2: 廣角12MP配備Dual Pixel及光學防震 (OIS) (F1.8) 後置鏡頭 3: 遠攝64MP (F2.0)（3倍混合式光學變焦） 相機功能： ·Space Zoom極遠變焦 ·Single Take 一攝多拍 ·Super Steady ·Live Focus景深即時預覽 ·Super Slow-Mo超慢動作
短片拍攝,MP4
短片解像度,8K (30fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA, DFF, DSF, APE"
短片播放格式,"MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,"v5.0 (A2DP,AVRCP,DI,HFP,HID,HOGP,HSP,MAP,OPP,PAN,PBAP)"
紅外線支援,不支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,IEEE 802.11 a/b/g/n/ac/ax
gps 功能,"GPS (Support A-GPS),Glonass, BeiDou, Galileo"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,S Pen、Link to Windows、25W 快速有線充電、15W 快速無線充電、無線分享電量、IP68 防水、支援 UWB（超寬頻）
