0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2013 年 9 月
推出日期,約 2013 年 9 月
價格,"約 HK$3,280更新日期：2015-10-29"
網絡系統,WCDMA (850/900/1900/2100MHz) GSM (850/900/1800/1900MHz)
操作系統,Android
中央處理器,4+4 核 1.9GHz CPU
圖像處理器,Mali-T628
操作系統及版本,Android 4.3
機身顏色,黑、白
尺寸,151.2 x 79.2 x 8.3 mm mm
重量,168 gram
操控,輕觸式
電池種類,3200 mAh 內建式鋰電池
可更換電池,支援
通話時間,20小時 (3G)
備用時間,490小時 (3G)
RAM 容量,3GB RAM
ROM 容量,16GB ROM
可擴充記憶,microsd
最大支援記憶體,64GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.7 吋
螢幕類別,Super AMOLED HD
螢幕解像度,1920 x 1080
螢幕備註,輕觸式
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,200 萬像素前置鏡頭
閃光燈,LED
相機功能,"拍攝模式: 自動, 美肌, 最佳相片, 最佳臉部表情、有聲拍攝(Sound & Shot)、戲劇效果(Drama Shot)、動畫相片、高爾夫、飽滿色調(HDR), 橡皮擦、全景、環繞拍攝、運動 場景模式: 卡通、褪色、魚"
短片拍攝,mp4
短片解像度,1920 x 1080 像素
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 v4.0、A2DP
紅外線支援,支援
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi、Wi-Fi Hotspot
gps 功能,GPS、AGPS
電腦連線,USB 2.0
視頻輸出,DLNA
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
